"lineage","country","date","N.S190I","ORF1a.D147G","ORF1a.T265I","ORF1a.G400S","ORF1a.A2891V","ORF1a.K3353R","ORF1a.V3718F","ORF1b.P314L","ORF1b.P1567L","ORF1b.K2538R","ORF3a.Q57H","S.D614G","ORF1a.M2036I","ORF8.A65V","ORF1b.S904L","ORF7a.S81P","ORF8.K68N","ORF1a.L3116F","ORF1b.P1570S","ORF1a.T1001I","ORF3a.L52F","ORF1a.T333M","ORF1a.L3606F","ORF1a.R124C","ORF1a.D203Y","ORF8.I121L","ORF1a.A307V","ORF1a.L533F","ORF7a.P99L","N.P199L","N.P364S","ORF1b.M657I","ORF1a.P2287S","ORF1b.A1798S","ORF8.R115C","N.A152V","ORF1a.I1002T","ORF1a.L2688F","ORF1a.L631F","ORF1b.I298V","ORF1a.L3644F","ORF3a.T269M","ORF1a.H2799Y","ORF1a.L628F","ORF1b.P1095S","ORF3a.V48F","S.T859I","ORF1a.R1464W","ORF8.I10T","N.L139F","ORF1a.L3027F","ORF1a.D3681Y","ORF3a.S166L","ORF9b.R32H","ORF1a.T1665A","ORF1a.K292N","ORF1a.E942V","ORF1b.K469N","ORF1a.D589G","ORF1a.T3255I","ORF1b.T2432I","N.P383L","ORF1b.V396F","ORF1b.V1787A","S.V445F","N.P67S","N.D377Y","ORF8.S24L","ORF1a.G519S","ORF1a.N2498S","ORF1a.T2615I","S.S884A","S.T572I","ORF7a.I110T","S.P499S","ORF1a.S3983F","ORF6.H3Y","ORF1a.P2260L","ORF1a.S2556L","ORF1b.D1668Y","ORF1a.I1326M","ORF1a.A876T","ORF1b.A7V","ORF1a.M3752I","ORF7a.H73Y","S.E484K","ORF1a.A4092V","ORF3a.V90F","ORF3a.V225I","ORF7a.L116F","ORF1a.P2685T","N.A336V","ORF1a.P1640L","S.D1163G","ORF7b.I2T","ORF1a.N3484H","ORF1b.V2237F","ORF7a.T111S","ORF7b.L4F","ORF1b.V1021F"
"B.1.361","Ghana","2020-12-24",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2021-01-05",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2021-03-01",1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2021-02-12",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2021-02-09",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2021-02-22",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2020-11-11",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2020-11-13",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2020-11-13",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.361","USA","2020-12-18",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
