"lineage","country","date","N.R203K","N.G204R","ORF1a.T1246I","ORF1a.G3278S","ORF1a.L3352F","ORF1b.L293S","ORF1b.P314L","ORF1b.M657T","ORF1b.A1609S","ORF3a.H78Y","ORF9b.A57V","S.N501T","S.D614G","ORF1a.E2K","ORF1a.E743K","ORF1a.S944L","ORF1b.G2474R","ORF1a.H2502Q","ORF1a.S2661F","ORF1a.A3209V","ORF1b.T67I","S.G261S","ORF1a.E913G","S.L5F","ORF1a.L628R","ORF7a.C35F","ORF1a.G2269V","ORF1a.K2108R","ORF1b.K1873N","ORF1a.A2891V","ORF1a.N1081K","N.A211S"
"C.2.1","USA","2021-02-02",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-26",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-26",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-26",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-26",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-26",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-01-19",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-11",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-25",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-03-03",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-03-17",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"C.2.1","USA","2021-03-22",1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"C.2.1","USA","2021-01-11",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-01-21",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-01-21",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-09",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"C.2.1","USA","2021-02-24",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"C.2.1","USA","2021-01-27",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-01-27",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C.2.1","USA","2021-02-04",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"C.2.1","USA","2021-02-10",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-10",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C.2.1","USA","2021-03-07",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-13",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-15",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.2.1","USA","2021-02-15",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
