"lineage","country","date","N.R203K","N.G204R","ORF1a.I785V","ORF1b.P314L","ORF1b.T2336I","S.D614G","ORF1b.A440V","ORF1b.L1681F","S.S12F","S.E583D","ORF1a.M3627I","ORF1b.P103S","S.D287V","N.D144N","N.A251V","S.D1259Y","N.K387R","ORF1a.V1295F","ORF1a.T1567I"
"B.1.1.268","USA","2020-08-23",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.268","USA","2020-06-13",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.268","USA","2020-06-15",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.1.268","USA","2020-06-15",1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"B.1.1.268","USA","2020-06-27",1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"B.1.1.268","USA","2020-06-23",1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
"B.1.1.268","USA","2020-06-23",1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
"B.1.1.268","USA","2020-06-30",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"B.1.1.268","USA","2020-06-18",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"B.1.1.268","USA","2020-07-02",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"B.1.1.268","USA","2020-07-04",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
