"lineage","country","date","N.R203K","N.G204L","ORF1a.A3143V","ORF1b.P314L","ORF1b.S997P","ORF3a.A54S","S.D614G","S.G75V","N.G204R","ORF3a.L106F","S.F157L","N.R185P","ORF1a.L3606F","ORF1b.T2488M","ORF1b.A1428V","N.G204P","ORF1a.P4220L","ORF8.A65V","S.S477N","ORF3a.T223I","S.T761I","ORF1a.K3353R","ORF1a.V4137I","ORF1a.T3459M","ORF3a.G172V","ORF1b.A520V","ORF1b.P1005S","ORF1a.T1246I","ORF1a.A1204V","ORF8.L95F","S.T547I","N.D371N","ORF1a.R124C","ORF1a.T403I","ORF1a.E738V","ORF1a.H1067Y","ORF1b.S2338L","S.S689I","ORF1b.E2311K","ORF9b.S50L","S.D138Y","N.A252S","ORF3a.L95F","N.R203E","ORF1a.P971L","S.D215Y","ORF1b.L1504F","S.L176F","ORF1a.K3577N","S.V6A","S.T73I","S.Q1201K","ORF1b.L1681F","S.E156K","ORF1b.D2511N","S.A924V","ORF1a.S443F","ORF1b.N168S","ORF1a.S944L","M.V66L","ORF1a.I1276T","ORF1a.T4174I","ORF1a.S4398L","ORF1a.K2771R","S.E154K","ORF1a.S2114A","ORF3a.I118V","ORF1a.T2124I","ORF1a.L3919F","ORF3a.S92L","ORF1b.A241V","ORF1b.K1507R","ORF1a.L3951F","ORF1a.D953Y","ORF1a.K2029N","ORF1b.V2515L","ORF1b.M1197I","M.H125Y","ORF1a.A4247V","ORF1a.V2019F","ORF1b.P160S","ORF1a.L4111F","ORF1a.M3129I","S.T1120I","ORF1b.E1184D","N.M210V","E.L21F","ORF1b.H1387N","ORF1b.P1427S","S.E554Q"
"B.1.1.153","United Kingdom","2021-01-23",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2021-01-23",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2021-01-22",1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2020-10-18",1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2020-11-08",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2020-11-08",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2020-11-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2020-12-10",1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2021-02-04",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.153","United Kingdom","2021-02-04",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
