"lineage","country","date","N.R203K","N.G204R","ORF1a.C657Y","ORF1b.P314L","S.D614G","ORF1a.P309L","M.C33S","S.G669A"
"B.1.1.208","United Kingdom","2020-05-09",1,1,1,1,1,0,0,0
"B.1.1.208","United Kingdom","2020-05-09",1,1,0,1,1,0,0,0
"B.1.1.208","United Kingdom","2020-05-08",1,1,0,1,1,1,0,0
"B.1.1.208","United Kingdom","2020-04-20",1,1,0,1,1,0,0,0
"B.1.1.208","United Kingdom","2020-05-11",1,1,0,1,1,0,0,0
"B.1.1.208","United Kingdom","2020-05-11",1,1,0,1,1,0,0,0
"B.1.1.208","United Kingdom","2020-05-29",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-02",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-02",1,1,0,1,1,1,0,0
"B.1.1.208","United Kingdom","2020-06-02",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-02",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-02",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-03-22",1,1,0,1,1,0,0,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,1
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-10",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-09",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-14",1,1,0,1,1,1,1,0
"B.1.1.208","United Kingdom","2020-06-07",1,1,0,1,1,1,1,0
