"lineage","country","date","N.R209I","ORF1b.P314L","ORF3a.Q57H","S.D614G","N.D3Y","ORF1a.H374Y","ORF1a.K1202E","ORF1a.S2132G","ORF1a.A3956V","ORF1b.P1287L","S.G769R","ORF9b.P10L","M.V66L","ORF1a.S528P","ORF1b.A1895V","N.T205I","ORF1a.M3655I","ORF3a.I62N","S.V1264L","ORF1a.T436I","ORF1a.D1671N","ORF1a.V3653A","ORF1b.K2579N","ORF1a.T951I","ORF1a.A2944V","ORF1a.E1245K","ORF3a.A33S","ORF1a.H2659Y","S.A344S","ORF1b.E2271G","ORF1a.G408S","ORF1b.T1178I","ORF3a.T223I","ORF3a.K21N","S.T859I","ORF1a.L3930F","ORF3a.T175I","ORF1a.T882I","ORF1b.P976S","ORF1b.S1974G","ORF1b.V2342M","ORF1a.T403I","ORF1a.T999I","ORF1a.M3627I","ORF1a.A4285V","ORF9b.A82V","N.A182S","ORF1b.A1063V","ORF1b.D2183Y","ORF3a.R134L","ORF9b.A11V","S.I1115V","S.A879S","ORF1a.T4083M","ORF1a.V597I","N.Q163K","ORF1a.S2926F","ORF1b.M2667I","S.F157L","ORF1b.S1985L","S.L54F","S.P681S","ORF1a.L3606F","ORF1a.N522H","ORF1b.A1160V","S.S939F","S.L18F","E.R69I","ORF1a.T1822I","ORF3a.T217I","ORF1a.P3952S","ORF1a.A474S","ORF1a.A2690V","ORF1a.V3165L","ORF1a.G3458S","N.V270L","ORF1a.P1220S","ORF1a.Y3722C","S.V1122L","S.D138Y","ORF1a.T2823I","ORF1b.R2613H","ORF3a.W128L","S.Q675R","ORF1b.M2408I","ORF1a.K120N","ORF1a.A2785V","ORF3a.K67N","S.L5F","ORF1a.T842I","ORF1b.V2371L","ORF1b.M2269I","ORF1a.K261N","ORF1b.T1050I","ORF1a.V627F","ORF1a.T3646A","ORF6.L44V","ORF7b.E39.","S.P1162S","ORF3a.V112F"
"B.1.471","Australia","2020-06-06",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Australia","2020-06-21",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Australia","2020-06-27",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Bahrain","2021-02-03",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Bahrain","2021-02-06",1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Bahrain","2021-02-17",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Bahrain","2021-01-10",1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Bahrain","2021-02-02",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","Bahrain","2021-02-16",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.471","United Kingdom","2021-01-30",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
