"lineage","country","date","N.A376T","ORF1a.P885L","ORF1a.M3087I","ORF1b.P314L","ORF1b.V767L","ORF1b.K1141R","ORF1b.E1184D","ORF3a.Q57H","ORF3a.E239D","S.S477N","ORF1b.A176S","ORF1b.V1639F","S.D614G","N.M234I","ORF1a.S443P","ORF1a.C326Y","ORF1a.V1968M","ORF1b.M915L","ORF7b.L34M","S.S943R","S.T299I","ORF1b.E171G","ORF1a.A1712V","ORF1a.V2715I","ORF1a.S2024L","N.R195I","ORF1a.T12I","ORF1a.H2831Y","ORF1a.K3353R","ORF1b.T1404M","ORF1b.A1521V","ORF1b.F1901L","ORF1a.P371S","ORF1a.S4018F","ORF1b.V2117L","ORF1a.C3790F","ORF1b.P2074L","ORF1a.H110Y","ORF1b.A1369V","ORF1a.A3620V","ORF1b.A1160S","ORF1b.V1705I","ORF3a.A72S","ORF7a.T14I","ORF1b.P976S","ORF1a.P3395L","ORF1a.Y118H","ORF1a.P2483S","N.T334I","ORF1a.L3338P","ORF1b.T2165M","ORF1b.I2356T","ORF8.K2R","ORF1a.V511I","ORF1a.R3323C","N.L139F","S.G889S","N.T296I","ORF1a.T1168I","ORF3a.A54V","ORF8.F108V","ORF1a.P777S","ORF1a.L2655F","M.L87F","ORF1a.V3261I","ORF1a.I1686K","ORF1a.A2593V","ORF1a.T770I","ORF1a.T1241I","N.P168S","ORF3a.V48F","N.H300Y","ORF1b.T1336I","ORF1b.F462L","ORF1a.L3808F","ORF3a.V50I","ORF1a.D3042N","ORF1b.T2217I","ORF1a.V1345G","ORF9b.T60I","ORF3a.V80L","ORF1a.D4344Y","ORF1a.P1862L","ORF1b.T2514I","ORF3a.T229I","ORF1a.T403I","ORF1a.A3454V","ORF1a.I2921F","ORF1b.A2513V","ORF1b.P1594L","ORF1b.F462P","S.T572I","ORF1b.T1555I"
"B.1.160.29","Switzerland","2020-12-25",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-12-25",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2021-01-12",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-11-02",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-10-30",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-11-09",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-11-06",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-11-13",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-12-18",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.29","Switzerland","2020-12-23",0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
