"lineage","country","date","N.R203K","N.G204R","ORF1a.E622V","ORF1a.L969F","ORF1a.S2024L","ORF1b.P314L","ORF1b.T2165M","ORF1b.G2180V","ORF7a.Q94.","S.D614G","E.S6A","S.G261V","ORF1a.Q4306L","ORF1a.I1435V","ORF1b.A1959V","ORF1a.M1647I","ORF1b.T1637I","ORF1b.Q2425H","ORF1a.R207C","ORF1a.W646R","ORF1a.M3129I","ORF1a.P4337A","ORF1b.V2182L","ORF3a.L65F"
"B.1.1.145","United Kingdom","2020-06-07",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-05-25",1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-05-20",1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-11",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-25",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-07-02",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-25",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-23",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-22",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-22",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-22",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-22",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-19",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-20",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-19",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-08",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-06-21",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","United Kingdom","2020-07-15",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.145","Switzerland","2020-11-09",1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"B.1.1.145","USA","2020-12-23",1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"B.1.1.145","USA","2020-12-18",1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
