"lineage","country","date","N.R203K","N.G204R","ORF1a.L446F","ORF1a.E847G","ORF1a.M1378I","ORF1a.P2739L","ORF1a.Y3063S","ORF1a.P3767L","ORF1b.P314L","ORF1b.P1727L","ORF8.Q27.","S.V213L","S.L452R","S.D614G","S.Y1155F","S.V1228L","N.S413I","ORF1b.A1805S","ORF8.W45C","ORF1a.K1077E","S.Y380F","S.Q677H","ORF1b.T1511I","ORF3a.A54S","ORF6.H3R","ORF8.S67A","ORF1a.V2019F","ORF7a.V93F","S.R102I","ORF1a.T1035I","ORF1b.T1339I","ORF1b.P2169L","ORF7b.F30L","S.L5F","ORF1b.T730I","S.E484K","S.G75R","ORF1a.T2153I","ORF1a.L3027F","ORF1b.V1691L","ORF3a.P240S","S.M153I","ORF1a.F480L","ORF1b.V2345I","N.P344S","ORF3a.T14I","ORF3a.V77F","ORF6.D61G","S.I472V","N.L339F","ORF1a.K3353R","ORF1a.F1632S","M.E11D","ORF1a.R207C","ORF1a.T1678I","ORF1b.E1421A","ORF1b.E2279D","ORF9b.L61S","S.S151I","ORF1a.N348D","ORF1b.G1129V","ORF3a.Q185H","S.H146Q","ORF1b.S2198I","ORF7b.A15S","S.H245F","N.Q418H","ORF3a.R122I","ORF1a.Q998H","ORF1a.S3218N","ORF1b.A2132V","ORF6.D53Y","N.Q9H","N.G238C","ORF3a.S195F","ORF3a.D238Y","ORF8.R52I","ORF8.F120V","ORF8.I121L","ORF9b.S6T","S.N439K","ORF1b.S1273L","ORF1b.V1984L","S.T33I","N.Q39L","N.D401Y","ORF1a.T4161N","ORF1b.Q2425H","ORF8.I10T","ORF8.Q18.","ORF9b.N36Y","S.P1162L","ORF1a.E217V","ORF1a.T4159I","ORF1b.N1311S","ORF1b.V2073L","S.V308L","S.Q675H","ORF1a.A138T","ORF1a.P2792L","ORF1b.A176V","ORF1a.I2812V","ORF1a.P2018L","ORF1a.K1878R","ORF1b.K2579N","ORF1b.M2269I","ORF1a.R550H","ORF1b.P970L","ORF1b.D1746Y","ORF3a.S74F","N.D377Y","ORF1a.D935G","ORF1a.T4364I","ORF6.M19K","ORF1b.T1522I","ORF1a.A1043T","ORF1b.V1787F","ORF7b.F19S","S.G769A","S.D574Y","ORF1a.P4197S","ORF3a.Q213K","S.S640F","ORF1a.A599V","ORF1a.I1551V","ORF1a.V1798L","S.A829V","ORF1a.S2556L","ORF1a.S3564L","ORF7a.R89I","ORF8.L95F","S.A647S","M.P123L","M.L138P","ORF1a.T2016I","ORF1a.A2249V"
"L.3","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-03-10",1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2020-12-11",1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-01-03",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-01-09",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-01-04",1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-02-19",1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-02-25",1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-03-01",1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.3","United Kingdom","2021-03-04",1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
