"lineage","country","date","N.L139F","N.S194L","ORF1a.A1983V","ORF1a.T2007I","ORF1b.P314L","ORF1b.L2560F","S.H49Y","S.P384L","S.E484K","S.D614G","ORF1a.H382Y","ORF3a.Q57H","N.S197P","N.A217T","N.G243C","ORF1a.D1547Y","ORF1a.V2061F","ORF1a.M2796I","ORF1b.A517V","ORF1b.F1707L","ORF1b.T2548I","ORF3a.G174V","ORF3a.T175I","ORF3a.E242Q","ORF7a.L96F","ORF1a.L3606F","ORF1b.T2432I","ORF3a.D27G","ORF3a.G44E","ORF3a.G100C","ORF1a.S944L","ORF1a.P2079S","ORF7a.I10T","ORF1a.G30V","ORF1a.P271S","ORF1a.A1049V","ORF1b.T1048I","ORF1b.D1183Y","ORF3a.H247Y","N.G215S","ORF1a.A555V","ORF1a.T1171I","ORF1a.V2613F","ORF3a.P258L","ORF1a.A3523V","ORF1b.T267M","ORF1b.P2313L","ORF1a.K2497E","ORF3a.L86F","ORF7a.T39I","ORF7a.A105V","S.M1229I","ORF3a.V90F","ORF1b.G2127S","S.A222V","S.G257V","ORF1b.E1167D","ORF1b.T2040I","ORF8.W45L","ORF1b.P1287L","ORF1a.G604S","ORF1a.F143S","ORF1a.T224I","ORF1a.K1281E","ORF1a.H1545Y","ORF1a.S3885F","ORF1b.V2178F","ORF9b.P43L","S.M153I","S.G219D"
"B.1.441","Egypt","2021-01-03",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2020-09-24",1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2021-03-05",1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2021-03-10",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2020-08-29",1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2020-11-02",1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2020-10-09",1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2020-10-13",1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2020-10-13",1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.441","United Kingdom","2020-10-22",1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
