"lineage","country","date","M.A69V","N.T205I","N.M234I","ORF1a.T265I","ORF1a.A1679S","ORF1a.K3162E","ORF1a.L3201P","ORF1a.A3209V","ORF1a.V3847I","ORF1b.P314L","ORF1b.G1338S","ORF3a.P42L","ORF3a.Q57H","ORF3a.P104L","ORF8.T11I","ORF8.A51S","S.D80G","S.F157S","S.L452R","S.D614G","S.T859N","ORF8.F120L","S.T716I","S.S982A","ORF1a.H2125Y","N.S197P","ORF1a.T3032K","ORF7a.V29I","ORF1a.Y2968H","ORF1a.H1613Y","ORF1a.T4355I","ORF1a.R560C"
"B.1.224","USA","2021-04-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-05-04",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-05-04",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-04-21",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-04-21",0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-04-01",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"B.1.224","USA","2021-04-06",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0
"B.1.224","USA","2021-04-08",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-04-17",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0
"B.1.224","USA","2021-03-31",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
"B.1.224","USA","2021-04-07",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
"B.1.224","USA","2021-04-11",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-04-14",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"B.1.224","USA","2021-04-26",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.224","USA","2021-05-20",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1
