"lineage","country","date","ORF1a.T265I","ORF1a.P926L","ORF1a.V3336I","ORF1b.P314L","ORF1b.R741H","ORF1b.S997P","ORF3a.Q57H","ORF8.S24L","S.D614G","ORF7a.C15F","N.R209I","ORF1a.V2047F","ORF1a.S3158N","ORF1a.L3606F","ORF1a.L3711F","ORF1a.P4220L","ORF1b.I1822V","S.G75V","ORF1a.L3123F","ORF1a.M3627I","ORF1a.T4164I","ORF1b.M1586L","ORF1b.N1587K","ORF1a.T945N","ORF1b.V321L","ORF1a.P309S","S.D138Y","S.V1104L","ORF1a.A668V","ORF1b.R712C","ORF1a.Y1511F","ORF1b.G2201D","ORF3a.I20T","ORF3a.G44V","ORF3a.T223I","ORF7a.P84S","S.F543V","ORF1a.G2868S","ORF1a.K4221R","ORF1b.H1550Y","ORF9b.P3L","S.K558N","S.H1101Y","N.N8H","ORF1b.S355Y","ORF1b.V2223L","ORF8.A65S","ORF9b.K4N","N.D377Y","ORF1a.T1168I","ORF1a.T2495I","M.H125R","N.T141I","ORF1b.D2270Y","ORF1a.M584I","ORF1a.T1854I","ORF1a.L2969F","ORF3a.T14I","N.S184F","ORF1a.R207C","ORF1a.T3750I","S.G72E","S.A1070S","ORF1a.A486V","ORF1a.G1819S","ORF1a.T2836I","S.Q677H","ORF1a.M2606I","ORF1b.V2178F","S.L5F","N.S327L","N.K369N","N.T334I","ORF1a.S279F","ORF1a.A2745V","ORF1b.D1183Y","N.R185L","ORF1b.H1213Y","S.S640F","S.A1078S","N.D128Y","ORF1a.S166G","ORF8.G66C","S.A845S","S.Q957R","ORF1a.G445V","ORF9b.P43L","M.L87F","ORF1a.S2972F","ORF1a.P626L","ORF1b.H66Y","ORF3a.V13L","ORF1a.E1340D","ORF1a.I2346T","ORF1a.T1881I","ORF1a.E3932D","ORF1b.T1336I","ORF1b.A1219T","ORF1a.V1025L","ORF1a.T2872A","ORF1b.V225L","ORF1b.R2613N","S.D80G","S.A520S","S.K1245N","N.D402Y","ORF8.S54L","S.T778I","ORF1b.V1375L","ORF1a.V3917G","ORF1a.N9S","ORF1a.M3129I","ORF1b.S2198I","ORF8.K68.","ORF8.D119G","ORF1a.S2303F","ORF1a.G3546D","ORF1a.Q3777H","ORF1b.A176V","ORF3a.L52F","ORF1a.K2589R","N.T148S","ORF1a.S674N","ORF1a.E1311G","ORF1a.A3497V","ORF1b.V2152I","ORF1b.H2388Y","S.R102I","E.F26L","ORF1a.K798N","ORF1a.A2249V","ORF1a.S2285F","ORF1a.H1113Y","S.K1149R","ORF1b.I1725T","ORF3a.R134L","ORF7b.L18V","S.T549I"
"B.1.336","Nigeria","2020-07-17",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","Nigeria","2020-07-17",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2020-11-16",1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2021-01-15",1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2020-07-29",1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2020-12-14",1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2020-11-11",1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2020-11-07",1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2020-06-29",1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.336","USA","2020-07-02",1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
