"lineage","country","date","E.T35A","M.A98S","N.S202R","ORF1a.C370W","ORF1a.I473S","ORF1a.A2690V","ORF1a.C3232R","ORF1a.L3234P","ORF1a.F3241L","ORF1a.V3248A","ORF1a.Y3250H","ORF1a.G3278S","ORF1b.P314L","ORF1b.K1337M","ORF1b.R2257S","ORF3a.Q57H","S.D614G","S.V656A","S.R682Q","M.F28L","ORF1a.L1016I","ORF1a.P1220H","ORF1a.T1665I","ORF1a.N3491S","ORF1a.T4292I","ORF1b.K2557R","S.P26L","S.Q675H","ORF1b.S638I","ORF1a.P971S","ORF3a.E19G","S.P26F","ORF1a.P1207S","ORF3a.T269M","ORF1a.N267K","N.P13L","ORF1a.S318L","ORF1a.G1548S","ORF1a.G1946S","ORF1a.I3618V","ORF1b.Q1011H","ORF3a.P42L","ORF7a.L116F","ORF8.T11I","ORF9b.P10S","S.T478K","S.Q957R","N.D103Y","ORF1b.P1567S","ORF1a.T2967I","ORF1b.D2020G","ORF1b.T2376I","ORF1b.T17I","ORF3a.E239D","ORF7a.Q76H","S.I834T","ORF1a.A79V","ORF3a.V13L","ORF1b.V1723L","ORF1a.H388Y","ORF3a.T32I","ORF1a.M1083V","ORF1a.A903V","ORF3a.D210N","ORF1b.M1596I","ORF1b.V2086F","N.A359S","ORF1a.I300M","ORF8.E19.","ORF1a.S2972F","S.A570V","ORF1b.H1087Y","ORF3a.K21N","N.G30V","ORF1a.D1547N","ORF1a.K2507N","ORF1b.T2432I","ORF9b.E27.","ORF1a.Q2702H","ORF1a.T2615I","ORF1a.V3593F","ORF1a.P1786L","ORF1b.S1661I","ORF7b.T40I","ORF1a.M4241V","ORF1a.A516V","ORF1b.K50R","ORF1b.T634I","ORF1a.P1640L","ORF1a.P3767L","ORF1a.L3930F","ORF1a.L2062F","ORF1a.L3027F","S.P809S","ORF1a.E1413D","ORF1b.D2234G","ORF3a.E226K","S.L18F"
"B.1.544","Egypt","2020-07-12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2021-01-28",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2020-12-04",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2020-12-28",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2021-01-15",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2021-03-04",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2021-03-15",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2021-03-08",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2020-10-02",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.544","USA","2021-03-03",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
