"lineage","country","date","N.R203K","N.G204R","ORF1a.K3162E","ORF1a.P3504H","ORF1a.A4044V","ORF1b.K134Q","ORF1b.P314L","ORF1b.T1064I","ORF1b.G1450R","S.L54F","S.D614G","S.P681H","S.V320F","ORF1a.K497E","ORF1a.D996Y","ORF1a.S2406L","ORF1b.P218S","ORF3a.W131C","ORF3a.R134C","ORF1a.K1041T","ORF6.P57L","ORF8.D107Y","M.M84V","ORF1b.S598I","N.T362I","N.K374N","ORF1a.T1854I","ORF1a.T2007I","ORF1a.G4086V","ORF3a.P104S","ORF1a.L204F","ORF1a.S428G","ORF1a.V3718F","ORF1b.V2178F","ORF8.G77C","ORF1a.A3143V","ORF1b.R1605K","S.A520S","S.K1191N","N.D22G","ORF3a.S166L","ORF8.H112Y","ORF9b.I19V","ORF1b.T2163I","ORF1a.L3606F","ORF1a.A3995T","ORF1b.E913D","ORF3a.R68I","ORF3a.T223I","S.V622F","ORF1a.N3537D","ORF1a.T333K","ORF1a.L2062F","ORF1b.A1868S","S.G1219V","ORF1b.H716Y","ORF3a.Y189C","ORF1a.T1665I","ORF1a.T3940I","ORF1b.T139I","N.A397V","ORF1a.K3353R","ORF1a.T4129I","N.L219F","ORF1a.A2832V","ORF1a.S3384L","ORF1a.T3453I","ORF1a.R4387C","ORF1b.S2658F","ORF3a.K21N","S.T95I","M.I82T","N.D63G","ORF1a.P2046L","ORF1a.V2930L","ORF1b.G662S","ORF7b.T40I","ORF9b.T60A","S.P681R","ORF1a.G209S","ORF1a.A1306S","ORF1a.T3255I","ORF1a.T3646A","ORF1a.Q3922H","ORF1b.A1918V","ORF3a.S26L","ORF3a.W69C","S.R158G","S.D950N","ORF1a.P309L","ORF1a.P1640L","ORF1a.V3718A","ORF1b.P1570L","ORF1b.S1898F","S.T19R","ORF1a.A2637T","ORF1a.I3731V","ORF1b.P2531S","ORF1a.T1055I","ORF1b.V2458A","ORF1a.I1206T","ORF1a.T3750I","ORF6.K48N","ORF7a.A8V","S.A653V","S.V1264L","ORF1a.D1157G","ORF1b.L1701F","ORF1a.G440R","ORF1a.T1022I","ORF1a.G519S","ORF1b.I1257V","ORF1b.V658I","ORF1a.A3705V","ORF8.V32L","S.E484Q","ORF1b.A2105S","ORF1a.T403I","ORF1a.S944L","ORF1a.K3832T","ORF1b.A167T","S.E1150D","ORF1a.V4250I","S.L452R","S.T478K","ORF1a.E750G","ORF1a.P2287S","ORF1a.V337I","ORF1b.L380I","S.H1101Y","ORF1a.V1271F","ORF1a.G295V","ORF1a.L681F","S.F490L"
"B.1.1.351","United Kingdom","2020-09-19",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","United Kingdom","2020-09-19",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","United Kingdom","2020-11-12",1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","United Kingdom","2020-12-26",1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","United Kingdom","2020-10-09",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","United Kingdom","2020-09-10",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","Estonia","2021-02-13",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","Poland","2020-10-24",1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","Germany","2020-10-12",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.351","Germany","2021-01-25",1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
