"lineage","country","date","M.I82T","N.R203K","N.G204R","N.N213I","N.P344S","ORF1a.T395I","ORF1a.S610L","ORF1a.Q1201H","ORF1a.M3087I","ORF1a.R3164H","ORF1b.P314L","ORF1b.G1129V","S.D138Y","S.N450K","S.D614G","S.P681R","N.A155V","E.T30I","ORF1a.T2154I","N.S235F","ORF1a.D203G","ORF1a.I2230T","ORF1a.M2259I","ORF1a.K3162E","ORF1a.L3201P","ORF1a.A3209V","ORF1a.V3847I","ORF1b.M510L","ORF1b.A2513S","ORF8.T11I","ORF8.A51S","S.L5F","S.P26S","S.D80G","S.F157S","S.N501Y","S.A570D","S.P681H","S.T716I","S.S982A","S.D1118H"
"B.1.1.34","United Kingdom","2020-12-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-05-19",0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-05-19",0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-06-02",0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-08-11",0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-09-14",0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-09-18",0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-06-06",0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","South Africa","2020-05-10",0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.34","USA","2021-04-01",0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
