"lineage","country","date","N.R203K","N.G204R","N.M210I","ORF1a.I300F","ORF1a.S610L","ORF1b.P314L","ORF1b.L1099F","ORF1b.R2257S","ORF3a.S171L","S.D614G","ORF1a.F1190L"
"D.4","United Kingdom","2020-08-21",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-21",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-21",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,1
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,1,0
"D.4","United Kingdom","2020-08-19",1,1,1,1,1,1,1,1,1,1,0
