"lineage","country","date","N.R203K","N.G204R","ORF1a.P3371S","ORF1b.P314L","ORF7a.T28I","S.D614G","E.F20S","ORF1b.D729Y","N.T141I","N.H300Y","ORF1b.D1848Y","ORF1a.V1416I","ORF8.Q91R","E.P71L","ORF1a.P804L","ORF7a.T14I","ORF9b.R32P","S.W152R","ORF1a.G401S","ORF1a.T1171I","ORF1b.D2020N","ORF1a.A3523V","ORF1a.G728C","M.M109I","ORF1a.P193L","ORF1a.V1798L","ORF1a.A2123V","S.G1219C","S.V70F","ORF1a.T2408I","ORF1a.K2761N","ORF3a.D155Y","ORF1b.L1218V","S.L5F","ORF3a.W149C","ORF3a.S165P","ORF9b.A29V","ORF3a.W131L","ORF8.V62L","S.T323I","ORF1a.C420Y","S.G181A","ORF1a.F31S","ORF1a.I114T","ORF1a.A2855V","ORF1a.L3123F","ORF1b.M1352I","ORF1a.S376L","ORF1a.E2089G","ORF1b.G1129C","N.V270I","M.D209Y","ORF1a.D953Y","ORF1a.L2778F","ORF1b.A1033S","S.S1242I","ORF3a.G224C","ORF8.F120V","ORF8.I121L","ORF9b.P43L","ORF1b.T2432I","ORF1a.R1386H","ORF1a.N2405S","ORF1a.S3264G","ORF1b.V2A","ORF1a.A656V","ORF1b.G662S","ORF1b.D2179Y","ORF3a.W128C","S.E583D","ORF1a.I1785V","ORF9b.R32H","N.D402Y","ORF3a.D27Y"
"B.1.1.135","Iceland","2020-03-30",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-07-13",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-07-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-07-01",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-07-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-07-02",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-08-02",1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-09-09",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-06-04",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.135","USA","2020-06-19",1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
