"lineage","country","date","N.S194L","ORF1a.K1720N","ORF1a.V3653F","ORF1b.P314L","ORF3a.T24I","ORF3a.Q57H","ORF3a.S171L","S.R102S","S.A222V","S.D614G","ORF1a.A486V","ORF3a.T175I","ORF7b.A15S","ORF8.I121L","S.A688T","ORF1a.I648V","ORF1a.P959H","ORF1b.T1162I","S.L1063F","N.T205I","ORF1b.L2560F","ORF1a.Q575R","ORF1a.V3660L","S.Q677H","S.M1050I","ORF1a.S723F","ORF1a.K2029N","S.S939F","ORF1a.S3547C","ORF8.Q18.","S.S151I","S.A706S","ORF1a.P1265S","S.D1199Y","M.S214I","M.A2S","ORF1a.G392S","ORF1b.D58N","S.E180K","S.N501Y","ORF1a.S2193F","S.L1200I","ORF1b.A440V","ORF1b.V548L","ORF1b.I2437T","ORF1b.V2223L","S.S1249P","E.P71S","N.P20S","ORF1a.H1113Y","ORF3a.L86F","ORF1a.L3606F","ORF1b.T2514I","ORF3a.I123V","ORF1a.G392C","ORF1b.K2063N","ORF1b.P2531S","ORF3a.G174C","S.V3G","E.L21F","ORF1b.L1681F","S.S247I","ORF1b.P2633S","ORF3a.H182Q","ORF1b.V1195F","ORF1b.R2613N","S.Q607K","S.P812L","ORF1a.A138V","S.V772I","N.A217S","N.D377Y","ORF1a.A1482V","S.S673T","S.V1176F","ORF7a.I110T","ORF8.V62L","ORF1a.T1496A","ORF1a.T2124I","ORF1a.P1497S","ORF1a.C3790F","ORF1b.P1161S","ORF1a.T2684I","S.P681R","ORF1a.K2004R","N.L167F","ORF1a.Q556K","ORF1b.G2297C","ORF3a.E239D","S.E654Q","S.D796Y","ORF1a.P309L","ORF1a.A2554V","ORF1b.S2359Y","ORF1b.G2064E","ORF3a.G100V","ORF6.E13D","ORF7b.E33.","S.H655Y","ORF1a.T2280I","ORF1a.P2685T","N.D399H","S.T20I","N.K372N","ORF1a.G519S","ORF1a.P732S","ORF1a.T3082I","ORF1b.M1197I","ORF1b.E1242D","N.A90S","N.D402Y","ORF1a.K47I","ORF9b.E86D","ORF1a.A1298V","S.E309Q","N.N126K","ORF1b.T1540I","ORF1a.P769S","ORF1b.K2579N","ORF3a.K16N","ORF7b.L11F","S.D936Y","ORF7a.P48L","ORF8.Q27.","ORF8.K68E","ORF1a.T999I","ORF1a.D3897A","ORF1a.P1010T","ORF1a.M1806V","ORF8.E106.","S.L176F","ORF1a.I785V","ORF1b.A1219S","M.T7I","N.D144H","ORF8.F120V","S.V367I","ORF1a.H2659Y","ORF1b.V2371L","N.D128Y","ORF1a.V561A","ORF1a.S1221L","ORF1a.T2087I","ORF1a.M2606L","ORF1a.S2804T","ORF3a.V55G","ORF8.E64D","S.D215G","S.S477N","S.A570S","S.D936H","N.S37P","ORF1b.M2269I","ORF1a.A2249V","ORF7a.D51Y","ORF8.R52.","E.V49G","ORF1a.I2231S","ORF1a.A3454V","ORF1a.L3829F","ORF1a.Q3922H","M.H148Y","M.E167Q","S.S943T","S.D950H","S.D1153Y","ORF1a.T614I","ORF1a.Q1201R","ORF3a.T223I","ORF7a.R89I","S.N556Y","N.L139F","ORF1a.T2906P","ORF1a.T4371N","S.T859I","ORF1a.P1921S","ORF1a.T4355I","ORF3a.K75N","ORF1a.H83R","ORF3a.S26L","ORF6.I18V","ORF1b.E1288D","ORF1b.A1832V","ORF8.P36L","S.Q677R","ORF8.E110.","S.A653V","N.T417I","ORF1a.E1413D","ORF1a.S944L","ORF1b.G587S","S.T604A","ORF1b.T1038I","S.P812S","ORF1a.R2875H","S.R21I","N.E118Q","N.T334I","N.K387R","ORF1a.I114T","ORF1a.M1312I","ORF1b.I298T","ORF3a.G44E","ORF8.L57S","S.N679K","ORF1a.T333M","ORF1a.T1820I","ORF3a.I35T","S.S12F","ORF1a.P1640S","ORF3a.T14I","ORF1a.Q3893R","ORF7a.S44L","ORF1a.P2005L","ORF1a.T3284I","ORF1b.T797I","S.I1225T","ORF1a.V2071F","ORF1a.S3099L","M.A38S","ORF1a.S2797F","N.A119S","ORF1b.T1034I","ORF1a.V26L","ORF7a.L96F","ORF1a.A307V","ORF1a.V3420L","ORF1b.T1076I","ORF1b.L1248F","ORF1b.G2610N","S.L249S","S.E484K","S.A1020V","ORF1a.F3085L","ORF1b.A34V","ORF1a.A2279V","ORF1a.A3705V","ORF1b.Q1441H","ORF1b.A2431V","ORF1a.L2518F","ORF3a.S166L"
"B.1.36.31","Bahrain","2021-01-31",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","Bahrain","2021-02-19",1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","Bahrain","2020-12-12",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","United Kingdom","2021-01-15",1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","United Kingdom","2021-01-16",1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","United Kingdom","2021-01-24",1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","United Kingdom","2021-01-24",1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","United Kingdom","2021-01-27",1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","United Kingdom","2021-03-04",1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.31","United Kingdom","2021-03-05",1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
