"lineage","country","date","N.R203K","N.G204R","N.D377Y","ORF1a.A1352V","ORF1a.S3244L","ORF1b.P314L","ORF7b.A15S","ORF8.A65V","S.D614G","ORF1a.A917V","ORF1a.E1293K","ORF1a.K2771R","ORF9b.P17H","ORF1a.L1523I","ORF1a.N2428S","ORF1b.K2161R","ORF3a.H78Y","ORF3a.G224C","S.Q779K","ORF1a.C4370F","N.Q181R","ORF1a.K2208N","ORF1a.A3615V","ORF1b.T1404M","ORF1b.I2356V","ORF3a.G172V","ORF8.G8V","ORF1a.L1131F","ORF1a.N1181K","ORF1a.T1496I","ORF1a.K1895N","ORF1a.P3395S","ORF1b.P2116S","ORF1b.E2311K","ORF1a.G1155C","ORF1a.G2294S","ORF3a.I35K","S.W152L","S.P809Q","N.D144H","ORF1a.T4364I","ORF1b.K1873N","S.T385I","ORF1b.H563Y","ORF1a.T1538I","ORF1a.A591V","ORF1a.M3669I","ORF8.A65S","S.A222V","S.A845S","S.L1244V","ORF1a.T4217I","S.E1262V","ORF1a.G1068E","ORF1b.D1127Y","N.T379I","N.Q389H","ORF1a.K958R","ORF1a.T3959I","ORF7a.Y97C","S.A67V","N.K342T","N.D343N","ORF1b.Q348L","ORF1b.Y1464C","ORF1a.K2029N","ORF1a.A3040V","N.P142S","S.T572I","N.Q28H","ORF9b.R25I","N.S193T","ORF1a.V337F","ORF1b.A1428V","ORF1a.S3983F","ORF1b.N2013D","ORF3a.T14I","ORF3a.A99V","ORF3a.K192N","ORF1a.S318L","ORF1b.D1565Y","ORF1a.V1008L","N.F307L","ORF1a.S2103F","ORF1a.N2111S","ORF1a.L2609F","ORF1b.L1681F","S.E661D","N.S197L","ORF8.D75A","ORF1a.T3750I","ORF3a.K67N","ORF1a.C213S","ORF1a.P1921Q","ORF1a.A3143V","ORF1a.L3606F","ORF1b.T1019I","ORF1b.A1326V","ORF1b.A2132V","ORF8.C25F","ORF1a.E1311A","ORF1a.T1828I","ORF1a.F2025L","S.L5F","ORF1a.T1344I","ORF1a.A2784V","S.L18F","S.H49Y","ORF1a.A1631V","ORF3a.S177I","S.A27S","ORF1a.A498T","ORF1a.A3705V","ORF1a.A1151S","ORF1b.V1841A","ORF9b.R32P","S.L54F","S.S151T","S.S50L","ORF1a.S887F","ORF1b.H1213Y","ORF1a.H374Y","ORF1a.G934D","ORF3a.D265Y","ORF7a.T14I","ORF1a.V60F","ORF1a.F8C","M.L93F","ORF1a.A872T","ORF1a.D1849E","ORF1a.L3644F","ORF1b.V345L","ORF3a.T223I","S.A27V","ORF1b.D731G","ORF1a.K1895M","ORF1a.A3625V","ORF1b.S1273L","ORF3a.D155Y","ORF1a.L3313F","ORF1a.V2580F","ORF8.S67F","ORF1a.R124L","ORF1a.Q1140H","ORF1b.P1095S","S.A846V","ORF1b.S638I","S.D427N","N.G96S","ORF1a.E1136A","ORF1a.T614I","ORF1a.P309L","ORF1b.D1042Y","ORF1b.R1262C","ORF1b.E2544A","ORF3a.S209T","ORF9b.R32H","M.F53L","ORF1a.A917T","ORF1a.A3657V"
"B.1.1.368","Germany","2021-02-01",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2020-11-22",1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-03-14",1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-03-14",1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-03-09",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-03-10",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-03-31",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-04-01",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-02-23",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.368","USA","2021-02-08",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
