"lineage","country","date","M.K15R","N.P207S","ORF1a.T265I","ORF1a.A516V","ORF1a.A1298V","ORF1a.T2859I","ORF1a.L3352F","ORF1b.P314L","ORF1b.V396F","ORF1b.T1076I","ORF1b.T1511I","ORF1b.H1606R","ORF3a.Q57H","ORF3a.S171L","ORF8.S24L","S.D614G","S.V1264L","ORF1b.R1262H","ORF1b.Q2635H","ORF1a.G2667C","ORF1a.H2799Y","ORF1a.P1921S","ORF9b.T83I","ORF1a.F641C","ORF1a.A2129V","ORF1a.I3853V","ORF1a.R73H","ORF1a.V3166F","S.T307I","ORF1a.V337F","ORF1b.P314F","ORF8.V32L"
"B.1.595.4","USA","2021-02-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-04-27",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-04-28",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-04-30",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-05-08",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-05-08",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-06-03",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-06-03",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-05-21",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"B.1.595.4","USA","2020-05-19",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-05-08",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-05-03",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-04-25",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-04-28",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.595.4","USA","2020-05-08",0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"B.1.595.4","USA","2020-09-23",0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"B.1.595.4","USA","2020-09-23",0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
