"lineage","country","date","N.P168Q","ORF1a.T265I","ORF1a.L580F","ORF1a.H2659Y","ORF1a.I3341V","ORF1a.T3857N","ORF1a.M3934T","ORF1b.P314L","ORF1b.S961L","ORF1b.T2548I","ORF3a.Q57H","ORF8.S24L","S.E96D","S.D614G","S.N710S","ORF1a.T1429I","ORF3a.A110V","S.D1199Y","N.S201I","ORF1a.W646C","ORF1b.N969T","ORF1b.S1089L","S.T859I","ORF1a.G1073E","ORF1a.L3483F","ORF1a.L3796F","ORF1b.P976S","ORF1a.F3753V","ORF1a.P1916S","ORF3a.L46F","S.S640F","ORF1a.N1898D","ORF1b.P2313L","N.G60C","ORF9b.M56I","N.S194L","ORF1a.A1739V","S.T573I","ORF1a.T2300I","ORF1a.N2966K","ORF1a.T3308I","ORF1b.V658I","ORF1b.T1076I","ORF3a.G196V","ORF8.E64D","ORF1a.T3000I","ORF1a.L3606F","N.D371Y","N.T391I","ORF1a.K2059R","ORF1a.T2124I","ORF1a.G2893V","S.A222V","ORF1a.E199D","ORF1b.L1220F","S.S477I","S.S1252F","ORF1a.M2606I","ORF1a.I1257V","ORF1a.Q3569H","ORF3a.G172C","S.Q613H","ORF1a.G2868S","ORF1a.Y4379C","ORF1b.T917I","ORF1a.E1384K","ORF1a.D1903Y","ORF1a.V2522A","ORF7b.L32F","S.T1066N","N.A398V","ORF1a.T4090I","S.P26L","S.C1247F"
"B.1.521","USA","2020-11-17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-12-02",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2021-01-04",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-11-06",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-06-23",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-07-16",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-05-01",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-05-01",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-05-01",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.521","USA","2020-05-04",0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
