"lineage","country","date","N.T205I","ORF1a.T265I","ORF1a.T1429I","ORF1a.L3606F","ORF1b.T76I","ORF1b.P314L","ORF3a.Q57H","ORF6.M19I","S.N501Y","S.D614G","S.T1116N","ORF1a.I1785T","ORF1a.F3789S","ORF1a.L3951F","ORF1b.P1287L","ORF8.I9T","S.S50L","S.M177I","ORF1a.E2031D","ORF1a.A2129V","S.A1020S","ORF1a.T3398I","ORF1b.M454I","N.P279S","ORF1a.H1838Y","ORF1b.I2077V","S.V1104L","ORF1a.R1464W","ORF1a.A3648V","ORF1a.T4174I","ORF1a.N3937S","S.S1242I","ORF1a.G353C","ORF1a.T2283I","ORF1b.A1643V","ORF7b.C41Y","S.D1163Y","ORF1a.Y947N","ORF1b.V2237L","ORF1a.L3829F","ORF1a.L4037F","ORF1a.E1413D","ORF1a.G2258C","S.E1207D","N.H300L","ORF1a.A2696V","ORF1a.M3627V","ORF1a.A4357V","S.L5F","ORF1a.L397F","ORF1a.E1210K","ORF1a.K1230N","ORF1a.A1824V","ORF1a.A3070V","ORF3a.L41F","N.P151L","ORF1a.P1054S","ORF1a.L2179F","ORF1b.V2458I","S.P251H","S.P812L","ORF1a.A668T","ORF1a.K120N","ORF1a.D1289G","ORF1b.K1828N","N.S187L","ORF1b.A1918S","ORF1a.S944L","ORF1a.A656V","ORF1a.R1421K","ORF1a.P3362L","S.Q677H","S.M1229I","S.P561S","N.I74V","ORF3a.E102K","ORF3a.P42S","ORF1a.A1314V","ORF1b.K50N","ORF6.K38R","ORF1b.Y597C","ORF6.Y49H","ORF1b.R96K","S.Y508H","ORF1a.G1101C","ORF3a.D210Y","ORF1a.S1133I","ORF1a.T1171I","ORF1a.D2848N","ORF1b.H2285Y","S.P26L","N.S194L","N.G204V","ORF1a.L92F","ORF1a.T609I","ORF1a.A4067T","ORF1a.E217K","ORF1a.A1352V","ORF1b.T284I","S.P1263Q","ORF1a.L3352F","ORF1a.T4087I","ORF1a.A3229V","ORF1a.P4312T","ORF1b.L1701F","ORF1a.L3201F","S.Y837H","ORF1a.T490I","ORF1a.P1950S","ORF1a.T2274I","ORF1b.L392F","ORF7a.P99S","ORF1a.L590F","ORF1b.I2616L","ORF1b.Y1192C","ORF6.E55.","ORF1a.D1962A","ORF1a.R3069K","ORF1a.D75G","ORF1a.P1609S","ORF1a.L3736F","ORF3a.E261G","ORF1a.A138T","ORF1a.F586S","ORF1a.T4311A","ORF1b.G1145C","ORF1a.A2994V","S.C1247F","ORF1b.T797I","ORF1a.L122R","ORF1a.I2359T","ORF1a.T2597A","ORF1a.N2708S","ORF1a.G3072C","ORF3a.D2Y","S.Y28N","S.L249V","ORF1a.V649I","N.Q418L","ORF1b.K1537R","S.R21T","ORF1b.V165I","ORF1a.A1298V","ORF1a.A1851V","ORF1a.P1265S","ORF1a.I1355V","ORF1a.S2535L","ORF1a.R124C","ORF1a.Y2266C","S.R214L","N.K127N","ORF1a.A516V","ORF3a.G100C"
"B.1.605","USA","2021-02-22",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2020-12-27",1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2021-01-19",1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2021-02-16",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2020-12-16",1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2021-02-02",1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2021-02-02",1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2021-01-01",1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2021-01-01",1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.605","USA","2021-01-01",1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
