"lineage","country","date","N.R203K","N.G204R","ORF1a.T814I","ORF1b.P314L","S.D614G","S.G769V","ORF1b.V1092F","ORF9b.T83I","ORF1a.T4159K","ORF9b.R32L","ORF1a.L1368I","ORF1a.T4355I","ORF1a.A540V","ORF1a.V3718A","ORF1b.K2579N","ORF3a.T151S"
"B.1.1.123","United Kingdom","2020-06-23",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-25",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-02",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-14",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-15",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-15",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-19",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-19",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-15",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-07-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-29",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-25",1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-24",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-24",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-11",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-11",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-16",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-20",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-16",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"B.1.1.123","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-10",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-10",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-09",1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"B.1.1.123","United Kingdom","2020-06-08",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-10",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-21",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-16",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-16",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-05-18",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-10",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-07-18",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-05",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-05",1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0
"B.1.1.123","United Kingdom","2020-06-05",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-08",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.123","United Kingdom","2020-06-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
