"lineage","country","date","N.P122H","N.R203K","N.G204R","ORF1b.P314L","ORF1b.V345L","ORF1b.E2274G","S.D614G","ORF1b.W2383S","ORF1a.A555T","ORF1a.H1381Y","ORF1a.L3606F","ORF1a.V3465L","S.L5F","M.V66L","N.T334I","ORF1a.T4364I","ORF1b.P2256S","ORF3a.W131C","S.A243V","S.E554D","S.P681H","M.T7I","N.G204L","ORF1a.T214I","S.D1259Y","ORF3a.L147F","ORF8.S67F","N.T271I","ORF1a.A1298V","ORF1a.M3934I","ORF3a.T151A","ORF1a.G3971C","ORF1a.P4120S","ORF1b.H1087Y","ORF1a.A535V","ORF1b.K2674N","ORF1a.G440R","ORF1a.L1507F","ORF1a.N3537S","ORF1a.P1692S","ORF1a.S2246L","ORF1a.A4285V","N.G212C","ORF1a.L890F","ORF1a.R207C","S.K147R","ORF1a.V1751L","ORF1a.T1820I","ORF1a.E2088A","N.T205I","ORF1a.N615K","ORF1a.T1822I","ORF1a.A2784V","ORF1a.T3284I","ORF1a.L3951F","ORF1a.T170I","ORF1b.E867D","ORF1b.M1156I","ORF1b.T2592I","S.T22P","ORF1b.R1687C","ORF1a.Q1021H","ORF1a.V3759F","ORF1a.Y182C","ORF1a.N1374S","ORF1b.S1893F","ORF3a.G254A","S.H655Y","ORF8.P36L","ORF1b.G2005C","ORF3a.R30C","ORF1a.S538L","ORF3a.A54V","ORF3a.Q57R","ORF1a.V1085F","ORF8.V62L","S.C1247F","ORF1a.K292N","ORF8.A51D","ORF1b.M2581I","ORF1a.L2609F","ORF1a.S2193F","ORF1a.I880V","ORF1a.V3465F","ORF1b.V783I","ORF1a.K1281R","ORF1b.V2178F","ORF1a.Y136N","S.K558E","S.V1104L","ORF3a.R30L","ORF1a.S558F","ORF7a.T28I","ORF1b.P2409S","ORF7a.L56P","N.R385K","ORF1a.T829I","ORF1a.T4083M","ORF1a.P2852S","S.A243S","S.V90F","S.A1020S","ORF1b.A2655V","ORF1a.A211V","ORF1b.P1936S","ORF7a.A66S","ORF7a.Y97D","ORF1a.R398C","ORF1b.R2613N","ORF7a.T115I","ORF1a.A3333V","ORF1a.M3425I","ORF1a.T224I","ORF1b.K469N","S.T778I","ORF1b.L2382F","S.R102G","ORF1b.V2060F"
"B.1.1.228","USA","2020-06-12",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-06-18",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-06-26",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-06-26",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-06-29",1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-07-02",1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-07-07",1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-07-09",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-08-05",1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.228","USA","2020-11-04",1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
