"lineage","country","date","E.P71L","N.T205I","ORF1a.T265I","ORF1a.K1655N","ORF1a.P2046L","ORF1a.N2596S","ORF1a.K3353R","ORF1b.P314L","ORF1b.I1074V","ORF3a.Q57H","ORF3a.S171L","ORF8.I121L","S.L18F","S.A67V","S.D80A","S.D215G","S.K417N","S.E484K","S.N501Y","S.D614G","S.A701V","ORF8.V62L","N.Q418H","ORF1a.A2345V","ORF1a.L3754F","ORF1a.G661S","ORF1a.P1207L","ORF1a.N2596G","ORF1b.T2548I","ORF3a.A59T","S.V1264L","ORF8.F120V","ORF1a.N462S","ORF3a.S60F","ORF1b.D2183N","ORF1b.L2523F","ORF1a.A540V","S.Q677H","N.A252S","ORF3a.S74F","S.P1263L","N.P396S","ORF1b.I1403T","N.R209I","ORF1b.S2212I","ORF3a.V77F","ORF1a.D1865N","ORF3a.G172C","ORF1a.G519S","ORF1a.I2346T","ORF1a.G1152C","ORF7a.T39S","ORF7a.F63H","ORF1b.P2313S","ORF1a.S2500F","N.P151L","ORF1b.A390T","ORF1b.S1898F","ORF3a.A99S","ORF1a.T2152I","ORF1a.L27I","ORF1b.V1092F","ORF3a.L65F","ORF1b.S1089L","ORF1a.P3447L","ORF3a.T270I","S.L5F","ORF1b.P976L","S.V705F","ORF1b.N1932S","ORF1a.E352D","ORF1a.T592N","ORF1a.V3449F","ORF1b.V1649F","M.A85S","ORF1a.A4394V","S.T1027I","ORF7a.P34S","ORF3a.V225A","N.T334I","ORF1a.L3829F","S.E1150D","ORF1a.S2797F","ORF1a.P971L","ORF1a.P309S","ORF1b.L1701F","ORF1a.E386K","ORF1a.S1905F","ORF1a.A1156D","ORF1b.V248F","ORF8.Q27.","ORF1b.T577A","N.K373N","ORF1a.L3350I","ORF1b.A576V","S.D253Y","ORF1a.S1510F"
"B.1.351.3","Bangladesh","2021-03-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-03-19",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-03-22",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-03-23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-03-16",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-03-21",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-03-19",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-03-23",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-05-10",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.351.3","Bangladesh","2021-05-27",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
