"rules","support","confidence","coverage","lift","count","count_in_lineage","success_rate"
"{ORF1a.A2355S} => {S.G142D}",0.0196189254144772,0.993041237113402,0.0197564055562345,1.3761509098292,3853,3282,0.998171846435101
"{ORF8.R115C} => {S.G142D}",0.00658886309014624,0.882072256305385,0.00746975436881339,1.22237072609215,1294,7660,0.618798955613577
"{ORF3a.T151I,ORF7a.V82A,S.G142D} => {ORF1b.P2633S}",0.00536719056287399,0.850889991245988,0.00630773733160808,124.338188040327,2916,0,0
"{ORF3a.T151I,S.G142D} => {ORF1b.P2633S}",0.00541872737211969,0.850129945134277,0.00637399894349541,124.227124615761,2944,0,0
"{ORF3a.T151I,ORF7a.V82A} => {ORF1b.P2633S}",0.00594697966688815,0.828249166880287,0.00718018188812463,121.029747341374,3231,0,0
"{ORF3a.T151I} => {ORF1b.P2633S}",0.00600403827712447,0.827288866345422,0.00725748710199319,120.889421294872,3262,0,0
"{ORF1b.K2557R,S.G142D} => {S.T95I}",0.00608318409132323,0.998791175581747,0.00609054649264404,1.10103549867148,3305,0,0
"{ORF1b.K2557R,ORF7a.V82A,S.G142D} => {S.T95I}",0.00532117555461889,0.998618307426598,0.00532853795593971,1.10084493433725,2891,0,0
"{ORF3a.T151I,S.G142D} => {S.T95I}",0.00636479594184439,0.998556165174704,0.00637399894349541,1.10077643070308,3458,0,0
"{ORF3a.T151I,ORF7a.V82A,S.G142D} => {S.T95I}",0.00629853432995706,0.998540997957397,0.00630773733160808,1.10075971084704,3422,0,0
"{ORF1a.L3606F,S.G142D} => {S.T95I}",0.0248867570646842,0.998301831069108,0.0249290908722789,1.10049606090644,13521,0,0
"{ORF1a.L3606F,ORF7a.V82A,S.G142D} => {S.T95I}",0.0236811638484008,0.998292985723153,0.0237216570556653,1.10048631007951,12866,0,0
"{ORF3a.D155Y,S.G142D} => {S.T95I}",0.0069648316494908,0.998153521498285,0.00697771585180222,1.10033256917137,3784,0,0
"{ORF3a.D155Y,ORF7a.V82A,S.G142D} => {S.T95I}",0.006767887414159,0.998099891422367,0.00678077161647043,1.10027344908819,3677,0,0
"{ORF1b.K2557R} => {S.K1191N}",0.0546551217646201,0.923904112036012,0.0591567036585392,16.5804800492962,25861,0,0
"{ORF1b.K2557R} => {ORF1a.Q3966R}",0.0546973901392109,0.924618627415955,0.0591567036585392,11.5841613598783,25881,0,0
"{ORF1b.K2557R} => {ORF1b.K1383R}",0.0555258502811904,0.938623128862849,0.0591567036585392,4.23642380898219,26273,0,0
"{ORF8.R115C} => {S.Q613H}",0.00727626379893275,0.974096796182686,0.00746975436881339,98.1553709573679,1429,0,0
"{ORF8.R115C,S.G142D} => {S.Q613H}",0.00641064809157196,0.972952086553323,0.00658886309014624,98.0400236954234,1259,0,0
