"lineage","country","date","N.R203K","N.G204R","ORF1a.K1348N","ORF1a.T1945I","ORF1b.P314L","ORF1b.L2419V","ORF3a.A23S","ORF7a.A8S","S.D614G","S.Q675H","ORF7a.L96F","S.N460K","ORF1b.T2432I","ORF1a.V774F","ORF3a.S171L","ORF1b.H1807R","M.H125Y","ORF1a.T1000I","S.S477R","S.S221L","ORF1a.M321V","ORF1b.I1299T","ORF1b.K2557R","ORF1a.I3576T","ORF3a.L53F","ORF1a.A131V","ORF1a.A2554V","ORF1a.S2103F","ORF1b.V2073L","ORF8.F120V","ORF8.I121L","ORF1b.R1729C","ORF6.E13D","ORF1a.S2303F","S.D950N","S.Q779E","M.A104V","ORF1a.A540V","ORF1a.I2873M","ORF1a.H1381Y","ORF1a.Y1947C","ORF1b.C953F","ORF1b.V1407I","S.V90F","ORF1b.A517V","S.S98F","ORF1a.A2344V","S.H49Y","ORF1a.P80L","ORF1a.T2264I","ORF1a.S3309F","ORF1b.P2256S","ORF1a.A79T","ORF1a.G112C","ORF1a.C270R","ORF1a.L3844F","N.A397S","ORF6.D6G","N.P207L","ORF1a.S2214T","ORF1a.A776V","ORF1a.K798N","ORF1a.L469F","ORF1a.T1250I","ORF1b.Q813H","S.S254F","M.H125Q","ORF1a.T1429I","ORF1a.T2684I","ORF1b.P1165S","ORF1b.F1296L","ORF1a.Q3922R","M.A2S","S.D936Y","ORF1a.E441G","ORF1a.K2497N","S.L5F","ORF7a.V82I","ORF1a.I841V","S.A892V","ORF1b.G35V","ORF3a.V259L","ORF1a.P4290S","S.P812L","ORF1b.E1184D","ORF1b.V2564M"
"B.1.1.385","Germany","2021-01-25",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2021-02-11",1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2021-01-25",1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2021-02-03",1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2020-09-27",1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2020-09-11",1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2020-09-23",1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2020-09-23",1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2021-01-27",1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.385","Germany","2021-01-12",1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
