"lineage","country","date","M.A2S","N.R203K","N.G204R","ORF1a.T1617I","ORF1a.P1692S","ORF1a.K2761N","ORF1a.N3212T","ORF1b.P314L","ORF1b.H1550Y","ORF1b.H1979Y","ORF1b.I2130V","S.D614G","S.S659L","ORF1a.M2674I","ORF3a.Q57H","ORF1a.A405V","ORF1b.R164C","ORF8.S54P","N.A12V","ORF1a.Q676H","ORF1a.T1637I","ORF7a.T11I","ORF9b.H9Y","S.Q677H","E.V58F","ORF1b.M1596I","ORF3a.R134L","ORF1a.S318L","ORF1a.Q1813L","ORF1b.A414V","ORF1b.E735D","ORF7b.E3Q","N.A218S","ORF1a.T882I","ORF1b.T1137A","ORF3a.T151I","ORF1a.E750A","ORF1a.D220N","ORF1b.T310I","ORF1b.P1452L","S.V1228L","ORF1a.S2103F","ORF1b.Y2549H","S.S813I","M.A81S","N.S327L","ORF1a.P804S","ORF1a.T1822I","ORF1a.V2276A","ORF1a.A3620V","ORF1a.A3705V","ORF1a.T4065I","ORF3a.D222G","ORF1a.Q1792R","ORF7a.Q62.","S.L5F","ORF1b.T1470I","ORF3a.G254R","ORF7a.A13T"
"B.1.1.243","United Kingdom","2020-09-24",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-09-24",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-10-01",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-11-01",0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-10-15",0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-10-15",0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-12-15",0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-09-08",0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.243","United Kingdom","2020-09-08",0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
