"lineage","country","date","N.T148S","ORF1a.T265I","ORF1a.E1311G","ORF1a.H2092Y","ORF1b.P314L","ORF3a.Q57H","S.D614G","ORF1a.S674N","ORF1a.Q2563H","ORF1a.G2927S","ORF1a.A2909V","S.L84I","ORF1a.T4129I","ORF3a.T89I","ORF1a.P109S","ORF1b.A2268V","ORF1a.T1854I","ORF1b.L1504F","ORF1b.A1884S","ORF8.F120L","ORF8.I121L","S.P1162L","ORF3a.I62S","ORF1b.T1404M","N.Q289H","ORF3a.P104L","ORF8.M1T","ORF1a.P1213S","ORF1b.T582I","ORF1a.T1840A","S.M740L","ORF1a.A3497V","ORF1b.H2388Y","S.S477N","ORF1b.G2180S","ORF1a.V3683A","ORF1b.T1637I","ORF1b.H1979Y","ORF3a.T32A","ORF8.G66S","S.H49Y","N.T205I","ORF1b.M187I","ORF1b.D1848Y","ORF1b.E2544D","ORF3a.A51S","S.I233V","ORF8.P85L","ORF7a.K85I","ORF3a.D22Y","ORF1a.K456R","ORF1a.S2132N","ORF1b.E1977K","ORF1a.K1233R","ORF1a.G1548D","ORF1b.T1774I","ORF6.S41C","S.L18F","ORF1a.K734N","ORF1a.L3951F","S.L5F","ORF1a.R398C","ORF1a.T1022I","ORF1b.E513D","ORF7b.T40I","ORF1b.C13F","ORF1a.N4060Y","ORF1a.L16F","S.P330S","ORF1a.T1401A","ORF1b.T17I","ORF1b.L1351F","ORF1b.S1893F","ORF1a.T333M","ORF1b.H286Y","ORF1a.T2166I","ORF1b.F2380C","N.P20L","ORF1a.A1074V","ORF1a.L4182F","ORF1b.A121V","ORF9b.P17S","ORF1a.L3606F","ORF1b.T335I","ORF1b.S2148F","ORF1a.L215F","ORF1b.T1896I","M.R107H","ORF1a.T1760K","ORF1a.I2873M","ORF1a.K2622N","ORF1a.T965N","ORF1a.G4288R","ORF1a.T753I","ORF1a.A4357V","ORF1a.I3898T","ORF3a.T223I","ORF1a.M1586V","ORF1a.S2103F","ORF6.W27L","ORF7a.S36F","ORF1b.H1168Y"
"B.1.340","USA","2020-07-06",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-05-19",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-07-22",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-07-22",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-07-28",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-07-28",1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-06-05",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-07-09",1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-07-13",1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.340","USA","2020-07-15",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
