"lineage","country","date","N.P13S","N.S194L","ORF1a.D1323Y","ORF1a.F1553L","ORF1a.T2016I","ORF1a.I2230T","ORF1a.T2791I","ORF1a.V3057A","ORF1a.T3287A","ORF1b.P314L","ORF1b.T1178S","ORF1b.L1351F","ORF1b.L1701F","ORF1b.P2633L","ORF3a.S40L","S.D614G","S.A688S","S.A701V","S.G1223C","ORF1a.V1236F","S.R214L","ORF1a.L3606F","N.A381T","N.N196I","N.G238C","ORF1a.I547V","ORF1a.T1682I","S.L452M","N.H300Y","ORF3a.S171L","N.S327L","ORF1a.I1153V","ORF1a.P1158S","ORF1a.P1497L","ORF1a.K2741E","ORF1b.A1033T","ORF1a.Q3966R","ORF1a.A4357V","ORF1a.A4194T","ORF1a.S308L","ORF1a.A555V","ORF1a.M3752I","ORF1b.D901Y","N.D128H","ORF1a.T265I","ORF1a.K1655N","ORF1a.L3027F","ORF1a.K3353R","ORF1b.A167T","S.H69Y","S.D80A","S.K417N","ORF1a.T346I","ORF1a.T1496I","ORF1a.D4165G","ORF1a.D4395G","ORF1b.P976L","ORF1b.A1609S","S.Q675H","ORF3a.H93N","ORF1a.A4016V","ORF1b.L2497F","N.G25C","ORF1a.E1564A","ORF1a.L3591F","ORF1a.A3837V","ORF3a.I62T","ORF9b.P39L","S.L18F"
"B.1.524","Malaysia","2020-04-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2020-11-30",0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2020-11-30",0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2021-01-14",0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2021-01-15",0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2021-01-15",0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2020-11-07",0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2021-01-15",0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2021-01-15",0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.524","Malaysia","2021-01-15",0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
