"lineage","country","date","N.S193T","ORF1a.Q22E","ORF1a.S2947N","ORF1a.V3660M","ORF1b.P314L","ORF1b.S1408L","ORF3a.Q57H","S.D614G","S.N679K","S.E1195D","M.H155Y","N.T205I","N.G238C","ORF1a.A2345V","ORF1a.A2811V","ORF1a.L3606F","ORF1b.R1315C","ORF1b.E1977D","ORF1b.T2165M","S.D138Y","ORF1a.V2047F","ORF1a.G2927S","ORF1b.D2270G","ORF3a.G49S","ORF8.A65V","S.L54F","N.A12S","ORF1a.A516V","ORF3a.A99S","ORF9b.M8I","S.S477I","ORF1a.G345D","ORF1a.I2634F","ORF1b.R2308C","ORF3a.W69C","ORF3a.L127F","S.C1250F","ORF1a.P193S","ORF1a.V365A","ORF1a.A3615V","ORF3a.S165F","N.P13S","N.V270L","N.D377Y","ORF1a.A1204V","ORF1a.E1549D","ORF1a.A2128T","ORF1a.T3255I","ORF1a.M3655I","ORF3a.P104L","ORF3a.Q185H","ORF3a.T223N","ORF1a.T3058I","N.R209I","N.Q229R","ORF1a.F3614V","ORF1a.V3718F","ORF1a.M3752I","ORF1a.A3924V","ORF1b.T2514I","ORF3a.Q213L","ORF7b.A15S","ORF1b.A2188S","N.G215S","ORF1a.C1114S","ORF1b.M1397I","ORF1b.A2268S","ORF1b.D2541E","ORF3a.K16N","S.A520S","S.A701S","ORF1b.M592I","ORF1b.D2333Y","ORF1a.V2133A","ORF1a.V2715I","ORF1a.T4354I","ORF3a.L275F","N.R195I","ORF1a.Q607H","ORF1b.T17I","ORF1a.S3949N","ORF1a.P2018S"
"B.1.9.5","Germany","2020-12-26",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","United Kingdom","2020-09-10",1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","United Kingdom","2020-09-09",1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","United Kingdom","2020-10-15",1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","United Kingdom","2020-10-21",1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","United Kingdom","2020-10-21",1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","United Kingdom","2020-09-28",1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","Switzerland","2020",1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","Switzerland","2020",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.9.5","Switzerland","2020",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
