"lineage","country","date","N.S194L","ORF1a.L3490F","ORF1a.D4165G","ORF1b.P314L","ORF1b.A1609S","S.D614G","S.V1228L","M.C33S","N.D128Y","ORF1b.K2395Q","ORF7b.L20F","ORF8.R52I","ORF8.C61.","ORF8.V62M","S.P812L","ORF1a.I1359T","ORF1a.I3944V","ORF9b.A75V","E.R61H","ORF1a.D1585N","ORF1a.M3934L","ORF1b.V983A","N.A211S","ORF1a.T1496I","ORF1a.P2605S","ORF1b.S759G","ORF8.S67F","S.A27V","ORF1a.S2030L","ORF1a.N805S","ORF1a.D4395G","ORF1a.L204F","S.Q677H","N.A398V","ORF1b.H2388Y","S.E583D","ORF1a.S318L","ORF1a.M3655I","ORF1b.T2165M","ORF1a.S216F","ORF1a.Q3332H","S.S940A","ORF1a.T711A","S.K1157N","ORF1b.N488K","S.D215Y","ORF1b.G1772V","S.A1020V","ORF1a.L3606F","ORF1a.T1637I","ORF1a.M1312I","ORF1a.T3432I","ORF1a.T3202M","ORF1a.S2193F","ORF1a.V3653F","ORF1a.I3758M","ORF1a.P4220L","ORF3a.A110S","S.M153I","ORF1a.R398C","ORF1a.T2183I","M.L87F","ORF1a.A3963V","ORF1b.D490E","ORF3a.A54S","ORF7a.R78C","ORF1b.T2432I","ORF1a.A1049V","ORF1a.T1543I","ORF1a.A2850V","S.A222V","N.T135I","ORF1a.R1170C","ORF7b.L32F","ORF8.I39V","ORF1a.T4088I","S.Q677R","S.K1073N","N.M234I","ORF1a.M1378I","ORF1a.A2460V","ORF1a.T4065I","ORF1a.S4153F","ORF1b.Q2252R","ORF1a.I1259T","ORF1a.A2320V","ORF1b.A1219S","ORF3a.R30L","S.G75V","ORF1a.P1786L","ORF1b.P1097S","ORF1b.V1493L","ORF1a.Q1140H","ORF1a.V56I","ORF1a.A2994V","S.Q1180E","ORF1a.L107F","ORF1a.A967V","ORF1a.T1881I","ORF1b.Y710C","ORF7a.D69Y","ORF1b.T132I","ORF1b.N902D","ORF1b.T1540I","ORF1b.S2324I","ORF1a.T1444I","ORF1a.L2609F","ORF1b.P2612S","ORF1a.T614I","ORF3a.V225I","S.T1009A","N.A336S","ORF8.I121L","N.T271I","N.T325I","ORF1a.T1017I","ORF1a.T2495I","S.T76I","ORF3a.T151I","ORF1a.F908L","ORF1a.S4398L","ORF1a.T265I","ORF1b.R1171I","S.V308L","ORF1b.S2673C","S.N370K","ORF1b.L1203F","ORF1b.A1547S","ORF1a.T1597I","ORF1a.G4177R","ORF1a.K4198R","S.S640F","N.P67T","ORF1a.H110Y","ORF1a.T1322A","ORF1a.D1639N","ORF1a.D4085G","ORF3a.Q57H","ORF3a.L108F","ORF3a.G174C","ORF9b.R13H","S.A348S"
"B.1.236","United Kingdom","2020-10-10",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2021-02-03",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-05",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-14",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.236","United Kingdom","2020-10-14",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
