"lineage","country","date","N.P67S","N.P80R","ORF1a.G989S","ORF1a.T1000I","ORF1a.S1188L","ORF1a.K1795Q","ORF1a.L3829F","ORF1b.P314L","ORF1b.E1264D","ORF1b.R2613C","ORF3a.S253P","ORF8.V62L","ORF8.E92K","ORF9b.Q77E","S.L18F","S.T20N","S.P26S","S.D138Y","S.R190S","S.E484K","S.N501Y","S.D614G","S.H655Y","S.T1027I","S.V1176F","ORF1a.T1322A","ORF1a.T2121I","S.V308I","ORF1a.S428G","ORF1a.S3099L","ORF3a.R68K","ORF7b.E39V","S.T638I","ORF1a.T2093I","ORF1a.G2667S","N.R203K","N.G204R","ORF1a.T1496I","ORF3a.T151I","S.K417T","ORF3a.S74F","S.R246G","S.N679K","N.Q163L","ORF1a.E57K","ORF1a.P3371S","ORF3a.L106F","ORF1a.T666N","ORF1a.L3829I","ORF1b.N602S","ORF1a.G1790C","ORF1a.P2110L","ORF1a.L3116F","ORF7b.T40I","ORF1a.L1853F","ORF1a.N2454S","N.T334I","ORF1a.L3606F","ORF1a.A3392V","ORF1b.T385M","ORF1a.T3750I","ORF1a.A2355S","S.E471Q","ORF1a.T224I","ORF1a.E952G","ORF1b.H1807R","ORF1b.A2431V","ORF1b.R2613N","ORF3a.A33E","N.D402Y","N.S413I","ORF1a.T78A","ORF1a.A2001T","ORF1a.I2786T","ORF1a.G3676S","ORF1a.F3677L","ORF1a.K3573R","ORF1a.H388Y","ORF1a.A859V","ORF1a.V1211F","ORF1a.T4355I","ORF1a.T4087I","ORF1b.A647S","ORF7a.K85.","ORF1a.A3726V","ORF1a.E1413D","ORF1a.L2077F","M.I48V","N.S206T","ORF7a.T39I","ORF3a.T12I","ORF3a.K21N","ORF6.Q8.","ORF8.S67F","S.D427N","S.D796H","ORF7a.P99S","N.G179C","N.R189L","N.E253D","ORF1a.T781I","ORF1a.P1640S","ORF1a.K4176N","ORF8.F120V","ORF1a.V1008I","ORF1a.V2071F","ORF3a.A103V","ORF1b.S769N","ORF1a.G1294S","ORF1a.D1849N","ORF1a.R3542H","S.P793T","ORF1a.P309S","ORF1a.T2166I","S.A688V","S.P812L","N.S206F","ORF3a.T269M","S.P1263L","ORF1a.S2048T","ORF7a.P34L","ORF1a.F962L","ORF1a.T265I","ORF1a.K1655N","ORF3a.L41F","ORF8.Q27.","ORF8.R52I","ORF1a.C2694G","ORF1b.V2178F","N.Q7R","ORF1b.R1736K","ORF9b.K4E","S.L54F","ORF1a.V2930I","ORF1a.C3380S","N.T391I","ORF1b.T76I","ORF1a.A872T","ORF1a.A4276T","S.T1120I","ORF1b.L1179F","S.S255F","S.T632N","ORF1a.T727I","S.S12F","S.G75R","ORF7a.V24F","ORF1a.K292N","ORF1a.S723A","S.D1184G","ORF1a.G295C","ORF1a.L2869F","N.D377Y","ORF1a.S538L","ORF1a.S1841F","ORF1a.T4031I","ORF1a.T2247I","ORF1a.A3220V","ORF6.V5F","ORF1a.A4257V","ORF1b.T2432I","ORF3a.Q185H","ORF1a.A3705V","ORF1b.V2073L","ORF1a.V710I","ORF7a.R118I","S.E654K","ORF1a.R398C","S.L5F","ORF1a.C3790F","N.A156G","N.P383L","ORF1b.I1569T","ORF3a.S171L","ORF1a.T1890I","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","ORF1a.I3522V","ORF1a.N447T","ORF1a.I222V","S.T29I","S.N544S","ORF1a.K2798R","ORF1a.A339V","ORF1a.S1189N","ORF1b.I2566L"
"P.1.12","Germany","2021-05-22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Germany","2021-05-18",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Germany","2021-05-30",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Germany","2021-05-30",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Peru","2021-03-24",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Peru","2021-06-18",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Peru","2021-06-18",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Peru","2021-06-21",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Peru","2021-06-23",0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.12","Peru","2021-06-25",0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
