"lineage","country","date","N.A208G","N.T393I","ORF1a.D75E","ORF1a.P971L","ORF1a.M4071I","ORF1b.F1757L","ORF8.V62L","ORF8.L84S","ORF1a.I3126T","S.D228E","ORF1a.R1404C","ORF1b.A1884V","ORF1b.I162M","S.L5F","ORF1b.V173L","N.S194L","ORF1b.A1432V","ORF1b.C1796Y","ORF1a.T265I","ORF1b.H73Y","ORF8.L95F","N.S37P","ORF1a.T2124I","S.N856T","S.G946R","ORF1a.I2538T","ORF1b.K2310N","ORF1b.A86V","ORF1a.T1637A","ORF1a.G2868S","ORF8.F16L","ORF1a.P1596L","ORF1b.Q813H","ORF1a.N3537D","ORF1a.A3620V","ORF1b.L1081V","ORF6.L29V","ORF1b.T2325I","ORF8.A65V","M.Y71C","ORF1a.V86F","ORF1a.T753I","ORF1a.T1637I","S.A845S","ORF1a.S2500F","ORF1a.G519S","ORF1a.E1549V","ORF9b.A57V","N.P168Q","ORF1a.L1507F","ORF1a.T814I","ORF1a.L3606F","N.T271I","ORF1a.I3140M","ORF1b.Y2393C","N.R203K","ORF1a.T1543A","ORF1a.S2030L","ORF1b.I1355T","ORF3a.Q17R","ORF7a.F54V","ORF1a.S308L","ORF1a.M3997I","ORF1a.V111L","ORF1b.P1567S","ORF7a.S98Y","ORF7a.F101I","ORF1b.G2510C","N.T205I","ORF1b.V728F","M.L138I","ORF1b.G2180S","ORF1a.S2193F","ORF1b.T595I","ORF1a.A1352V","ORF1a.T3058I","N.T16M","ORF9b.R13C","ORF1a.S2797F","ORF1b.C2167F","ORF1a.G1125C","ORF1a.P1692S","ORF1a.H2698Y","ORF1a.K1763N","S.N603S","ORF1a.A2584V","ORF1b.R524C","S.E180D","ORF1a.T2106I","ORF1b.A2143V","N.G238C","N.T247A","N.D348Y"
"A.3","Australia","2020-03-20",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","Mexico","2020-04-30",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","New Zealand","2020-03-23",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","Taiwan","2020-04-02",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","USA","2020-03-24",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","USA","2020-03-27",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","USA","2020-03-28",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","USA","2020-03-17",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","USA","2020-03-31",1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.3","USA","2020-04-01",1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
