"lineage","country","date","M.A2V","N.R203K","N.G204R","N.M322I","ORF1a.T727I","ORF1b.P314L","ORF3a.G254V","S.D614G","ORF1b.V321L","ORF1b.T794I","ORF3a.F8L","ORF1a.K722T","ORF1b.I1998V","ORF1a.T2016K","ORF7b.H37Y","ORF1a.P2302S","ORF1a.K837R","ORF1a.D3042N","ORF1a.G146C","ORF1a.T4174I","ORF1a.I1002T","ORF3a.V273L","ORF1a.T866I","ORF1a.T1874A","ORF1b.V290F","ORF1b.A520V","E.V24M","ORF1a.G353C","ORF1a.P1786L","ORF9b.P10L","N.M101I","ORF1b.A2431V","ORF9b..98S","ORF1a.P777S","ORF1a.H2659Y","ORF1a.T4175K","ORF1b.D294G","S.A1078S","ORF1a.D2043G","ORF1a.M2194I","ORF1b.L2560F","ORF3a.P240L","ORF1a.G445C","ORF1a.G519S","ORF1a.E855D","ORF1a.M1083I","ORF1a.D1282E","ORF1b.P1452L","ORF1b.S2198I","ORF1b.A2585S","ORF8.S54.","S.T33I","ORF1b.S1972A","ORF1a.K701E","ORF1b.P1567L","ORF1b.S2205F","ORF1a.S3G","ORF1a.N3537D","ORF1b.G575R","N.R36Q","ORF1a.R848S","ORF1a.L2869F","ORF9b.D33N"
"B.1.1.236","United Kingdom","2020-09-09",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-09-09",1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-09-09",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-09-24",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-10-02",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-10-06",1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-10-07",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-10-07",1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-10-14",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.236","United Kingdom","2020-10-15",1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
