"lineage","country","date","N.M234I","N.A376T","ORF1a.M3087I","ORF1b.A176S","ORF1b.P314L","ORF1b.V767L","ORF1b.K1141R","ORF1b.E1184D","ORF3a.Q57H","ORF7a.T14I","S.S477N","S.D614G","N.R385K","ORF1b.A1369S","ORF7a.F6L","ORF1a.F685I","ORF1a.T1605I","ORF1a.E113A","ORF1b.A190S","ORF3a.V55F","ORF6.Y31H","S.P631S","ORF1a.S2625F","ORF1a.A2759S","ORF1b.T1540I","ORF1a.R24C","ORF1b.V1418M","ORF1a.S546P","ORF1b.I1799T","ORF1a.S1857L","ORF1a.P3767S","ORF1a.T1754I","ORF1a.V3759F","ORF1a.F3085S","ORF9b.A57V","M.S4F","ORF1a.G728V","S.L54F","ORF1a.T3462A","ORF1a.L3606F","N.D22Y","ORF9b.Q18H","ORF1a.R124C","ORF1a.F3138C","ORF1b.D1882G","ORF1a.K1753E","N.D63N","N.G238S","ORF1b.L2032F","ORF1a.A3220V","E.A22V","ORF1b.P1664T","ORF3a.S26L","ORF6.D61L","S.S939F","ORF1a.P748L","ORF1a.A2636V","N.H145Y","ORF1a.I1935V","ORF1b.K1125R","ORF1a.T4090A","ORF1a.K3351R","ORF1a.Y576C","ORF1a.R2818C","ORF1a.F3085L","ORF8.A65S","ORF1a.V3261I","ORF1a.S1351N","ORF1a.G4222S","ORF1b.N900S","ORF1a.D75G","N.D103A","ORF7b.A43V","ORF1b.N1591S","S.L585I","ORF1a.L1131F","S.N710S","ORF1a.I1686K","ORF1b.Y1944.","E.P71L","ORF1a.S3384L","ORF1a.G963S","ORF1b.P314F","N.S235F","ORF7a.Q62.","ORF3a.V259L","ORF1b.L1890F","ORF1a.A4156T","ORF1a.I1505T","ORF1a.L3321F","ORF1a.H712Y","S.W64R"
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.15","Switzerland","2020",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
