"lineage","country","date","N.S183Y","ORF1a.T265I","ORF1b.P314L","ORF3a.Q57H","S.T76I","S.D614G","ORF1a.T2274I","ORF1a.L3606F","ORF1b.A7V","ORF7a.L96F","S.H49Y","ORF1a.R1170C","S.E780Q","S.E702Q","E.A41V","ORF1a.A181T","ORF1a.L3644F","ORF1a.H1160Y","N.Q289H","ORF1b.T132I","ORF1b.T730I","ORF1a.L642F","ORF1a.P2950S","ORF1b.P909S","ORF3a.S74F","ORF8.I121L","S.K1191N","ORF1b.T1162I","ORF1a.T1429I","ORF1a.A3705V","S.N30K","S.P809S","S.L1224S","S.L5F","N.A152S","ORF1b.E735D","ORF1b.V1840F","ORF3a.A23V","S.A522S","ORF1a.T4083M","N.M210I","ORF1a.S4398L","N.R203S","N.A414S","ORF1a.A1851V","ORF1a.V2061F","S.K1205N","ORF8.A65V","N.A12T","ORF1a.C3423F","ORF9b.M8I","ORF3a.L15F","S.D1163Y","ORF1a.E755D","ORF6.T10I","ORF1a.L1579F","ORF1a.S2255F","S.T859I","N.W330L","ORF1b.V2365A","ORF3a.R126M","S.F490S","ORF1b.T2432I","ORF1b.V1279F","ORF1b.M1719T","N.E136D","ORF7a.V93F","ORF3a.Y145H","ORF1a.L2176F","ORF1a.T4304I","ORF1b.A1884V","ORF1a.T1444N","ORF1b.H2285L"
"B.1.564","New Zealand","2020-03-24",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","New Zealand","2020-03-25",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","New Zealand","2020-03-29",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","Pakistan","2020-04-22",0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2020-07-06",1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2020-07-12",1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2020-09-19",1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2020-10-27",1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2021-01-21",1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2021-01-20",1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2021-01-23",1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.564","USA","2021-01-23",1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
