"lineage","country","date","ORF1a.T265I","ORF1a.S3885F","ORF1b.P314L","ORF3a.Q57H","S.S50L","S.D614G","ORF1b.E885D","S.K444R","ORF1a.N2405S","ORF1a.T3082I","ORF6.D61Y","ORF1b.A7V","ORF1a.A967V","S.H146Y","ORF1a.V2061I","ORF1a.K2589R","ORF1b.S2495L","ORF1b.L1933F","N.T165I","ORF1b.S1273L","ORF8.S24L","ORF1a.V1957L","ORF1a.T3058I","ORF1a.I473N","ORF1a.A1314V"
"B.1.264","Australia","2020-03-23",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-17",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-24",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-24",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-24",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-29",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-02",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-31",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-18",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-18",1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04",1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-20",1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-03-24",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-02",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-02",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-02",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-04",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-06",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"B.1.264","USA","2020-04-06",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-05",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-06",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-06",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-06",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.264","USA","2020-04-05",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.264","USA","2020-04-14",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-28",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"B.1.264","USA","2020-04-24",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-18",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-10",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.264","USA","2020-04-07",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"B.1.264","USA","2020-03-31",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"B.1.264","USA","2020-04-06",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
