"lineage","country","date","ORF1a.T265I","ORF1a.L3352F","ORF1a.L4037F","ORF1b.P314L","ORF1b.D1746Y","ORF3a.Q57H","ORF8.S24L","ORF8.P38S","S.D614G","ORF3a.V48I","ORF1a.P193L","ORF1a.N4141S","ORF1b.V1271L","ORF1b.A1369V","ORF1b.D2067Y","S.P26S","ORF1a.Y1734H","ORF1a.I3779V"
"B.1.589","USA","2020-04-08",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.589","USA","2020-03-15",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.589","USA","2020-03-17",1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"B.1.589","USA","2020-03-16",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.589","USA","2020-03-16",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.589","USA","2020-06-11",1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0
"B.1.589","USA","2020-06-15",1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0
"B.1.589","USA","2020-06-22",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.589","USA","2020-06-23",1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0
"B.1.589","USA","2020-06-13",1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0
"B.1.589","USA","2020-06-13",1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0
"B.1.589","USA","2020-06-18",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.589","USA","2020-06-23",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1
