"lineage","country","date","M.I82T","N.D63G","N.R203M","N.G215C","N.D377Y","ORF1a.I1091V","ORF1a.A1306S","ORF1a.P2046L","ORF1a.P2287S","ORF1a.A2850V","ORF1a.V2930L","ORF1a.T3255I","ORF1a.T3646A","ORF1a.T4087I","ORF1b.P314L","ORF1b.G662S","ORF1b.T701I","ORF1b.P1000L","ORF1b.A1918V","ORF3a.S26L","ORF7a.V82A","ORF7a.T120I","ORF7b.T40I","ORF9b.T60A","S.T19R","S.R158G","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","ORF8.A55V","S.G142D","N.G34W","ORF1a.E87D","ORF1a.T2280I","ORF6.L4H","E.P71H","E.A41V","ORF1b.T1404M","ORF9b.P10L","ORF1a.V35A","ORF3a.G172C","ORF7a.F63H","N.S327L","N.W330L","N.A414S","ORF1a.T1754N","ORF1a.S2103F","ORF1a.P3447L","ORF1a.L3915F","ORF3a.V88L","S.I1132V","ORF1b.V1110L","ORF1a.K1512R","ORF1a.G519S","ORF1a.T711A","ORF1a.L1562F","ORF1b.V1164L","ORF1b.H1550Y","ORF1b.A1884V","ORF3a.L106I","ORF1b.T2453I","ORF3a.G174C","ORF1a.A537S","ORF1a.N2708D","ORF1b.V119A","ORF1b.V658I","S.T95I","ORF1a.G638C","ORF1a.Q1021H","ORF1a.M85V","ORF1a.I2854L","ORF7a.A79S","ORF8.V62L","ORF8.G8V","ORF1a.V2149I","ORF1b.K1873N","ORF1b.Q2247H","S.S940F","ORF1a.L3644F","ORF7a.I100V","ORF1a.I4098V","ORF1a.T4129I","ORF3a.V50F","ORF8.P30Q","ORF1b.D226N","S.D843Y","ORF3a.T32I","ORF1b.K2557R","ORF1a.T1597I","S.S680F","ORF1b.A2457S","N.A155V","ORF1a.D3296G","ORF1b.T1637I","ORF1b.T1902I","ORF1a.L2564F","ORF1a.G3578D","ORF7a.L116F","ORF1a.I502V","ORF1a.L2609F","ORF1a.T2910I","ORF1a.V3560I","ORF1a.G4378C","ORF8.E106.","S.D427G","ORF1a.V3130F","ORF7a.T28I","S.A1070V","ORF1a.Q1292R","ORF1a.L3606F","ORF1b.S442C","ORF1b.P970L","ORF1a.I222V","ORF1a.D1639N","ORF1a.S2114F","ORF1a.T2300I","ORF1a.P2929S","ORF3a.V48F","ORF7b.D36A","ORF1a.G445C","ORF1a.C3682Y","ORF1b.S540G","ORF1b.E735D","ORF1a.T1567I","ORF1a.M1769T","ORF1a.I368T","ORF1b.A788S","ORF1b.D2429N","ORF3a.K21N","ORF3a.L86F","ORF8.S67F","ORF1a.A1397V","ORF1a.I2286M","ORF1a.T3182I","ORF1a.F3614L","ORF1a.N9K","ORF3a.T270I","ORF1b.A1798S","ORF3a.I63T","ORF1a.H110Y","ORF8.A65S","ORF1a.A1851T","ORF1a.T484I","N.R195T","ORF3a.W128L","S.R214L","ORF1b.A869V","E.L37F","ORF1a.V274L","ORF1a.Y2266H","ORF1a.F3172L","ORF1b.A1744T","ORF3a.V90F","ORF1a.A520V","ORF1a.L1016F","ORF1b.A414V","ORF9b.G31V","ORF1b.A941V","ORF1a.A656S","ORF1a.G894D","ORF1a.E1013D","ORF1a.S2797F","ORF1b.Q2635H","ORF3a.S74F","ORF7a.V71I","ORF8.E110Q","S.T572I","ORF1a.E390K","ORF1a.I3731V","ORF1b.G814S","S.E554D","S.I834V","ORF1a.G912S","ORF1a.S2378L","ORF1a.H2659Y","ORF1a.V4057I","S.A1078S","ORF1a.S2024L","ORF1b.E268A","ORF1b.Q1204R","S.R78W","ORF1a.S3001G","ORF1a.A3454V","ORF1a.K1791N","ORF1a.I3522L","ORF1a.E755D","ORF1a.A3357T","ORF1a.L259F","ORF1a.T1840I","ORF1b.L2043I","N.K374N","ORF1a.P2483S","S.G446V","ORF1b.V466I","ORF1b.S638I","ORF1b.P1427S","ORF7a.A13T","ORF1a.K1208E","ORF1a.H374Y","ORF1a.A482V","ORF1a.D2026G","ORF1a.M3129I","ORF1b.T2514I","ORF1a.Y3154C","ORF1a.A3270V","ORF1b.R240K","ORF1b.D2179Y","S.Y269H","S.V483I","ORF1b.F685Y","N.G18C","N.R191C","ORF9b.L14F","ORF7a.S81P","ORF1b.S1779I","N.D348G","M.D209H","ORF1b.S2430I","S.A706P","ORF1a.D2848E","ORF8.I71V","ORF1a.T2977K","S.V911I","ORF1a.V106I","ORF1a.E743D","ORF1a.T2988I","ORF1a.A3070V","ORF1b.D2142Y","ORF7a.F6L","S.D88H","S.A852S","N.G129S","ORF1b.A2431V","S.R102I","ORF3a.L53F","S.K187R","ORF1a.G49C","ORF1a.I3140L","ORF1a.L92F","N.T265I","ORF7a.P84S","ORF1a.W646L","ORF1a.E1086D","ORF1a.V2052M","ORF1b.R240M","ORF1a.P193L","ORF1b.R712H","ORF1b.R2613C","ORF3a.G254E","S.E224D","S.G72W","ORF1b.I2524V","ORF7b.L25F","ORF1b.C721F","ORF8.S69.","ORF6.Y49H","ORF1b.S2399I","ORF3a.W131C","ORF7a.F54L","ORF7a.K85.","M.S94G","ORF1a.N313K","ORF1a.M1014I","ORF1a.P1018Q","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","ORF3a.G100S","ORF7a.P45S","ORF1a.S1492Y","S.T240I","ORF1a.T2154I"
"AY.99.2","Denmark","2021-07-29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","United Kingdom","2021-08-30",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","United Kingdom","2021-08-30",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","United Kingdom","2021-08-30",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","United Kingdom","2021-08-30",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","United Kingdom","2021-07-04",1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","New Zealand","2021-07-12",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","Germany","2021-08-24",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","Germany","2021-11-01",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.99.2","Germany","2021-10-22",1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
