"lineage","country","date","E.S68F","M.I82T","N.D63G","N.R203M","N.G215C","N.D377Y","ORF1a.K261N","ORF1a.H1113Y","ORF1a.A1306S","ORF1a.P2046L","ORF1a.P2287S","ORF1a.R2686H","ORF1a.V2930L","ORF1a.T3255I","ORF1a.A3270T","ORF1a.T3646A","ORF1b.C142Y","ORF1b.P314L","ORF1b.G662S","ORF1b.P1000L","ORF1b.I1579V","ORF1b.K1873N","ORF1b.A1918V","ORF3a.S26L","ORF3a.V112F","ORF7a.P45L","ORF7a.S81L","ORF7a.V82A","ORF7a.T120V","ORF7b.T40I","ORF9b.T60A","S.T19R","S.G142D","S.R158G","S.A411S","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","S.T1117I","ORF7a.Q76.","ORF7a.T120I","ORF3a.W193R","ORF1b.F685Y","ORF7b.S31L","ORF1a.K1763N","M.I76V","ORF7a.L77S","ORF1a.N2531S","ORF1a.T749A","S.T859I","ORF1a.V2857A","ORF1b.V165I","ORF1a.T3058I","ORF1a.G3541R","ORF8.I76V","ORF1b.A1643V","ORF1b.V222I","ORF1a.V86I","ORF1a.T1521I","ORF1a.L3606F","ORF1b.T2165M","ORF3a.S216L","N.Q409H","ORF1a.K794E","ORF1b.M2644V","ORF7a.E41D","ORF1a.P892T","ORF1b.P1682L","N.P326S","S.M153I","ORF1b.I1688M","ORF1a.T1854I"
"AY.122.2","Denmark","2021-12-05",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-12",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-15",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-16",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-23",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-23",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-26",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-27",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-28",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.122.2","United Kingdom","2021-11-28",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
