"lineage","country","date","ORF1a.T265I","ORF1b.P314L","ORF3a.Q57H","S.D614G","M.S214I","S.S221L","S.V6F","N.T166I","N.S190I","ORF1a.W630R","ORF1a.A3648V","ORF1a.P3371S","ORF1b.I1598V","ORF1a.L3876F","ORF8.T11I","ORF1a.R207C","N.T205I","ORF8.I121T","E.T30I","M.H125Y","ORF1a.E797A","ORF1a.H1500Y","ORF1a.T2967I","ORF1a.L3606F","ORF1a.M3669V","S.S13I","S.K97M","S.R190K","S.V483A","ORF1b.I2303V","ORF3a.V112I","ORF1a.G445V","ORF1b.P314F","ORF1b.L1701F","S.P681H","ORF8.E106.","ORF1a.A2821V","ORF1b.A7V","ORF1a.V3718F","ORF1a.C3059S","N.D144Y","ORF6.N39K","ORF1a.S302F","N.A311V","ORF1a.S1924I","S.Q613H","ORF6.I32T","N.P168S","ORF1b.C1265Y","ORF1a.G1073R","S.T22P","S.Q23L","N.D128Y","ORF1a.V660A","ORF1a.P971L","ORF1a.A668V","ORF1a.M3862I","ORF3a.P104L","ORF1b.D1869Y","ORF1b.T797I","ORF1a.S1924N","ORF1a.K3499R"
"B.1.320","Australia","2020-03-17",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Australia","2020-03-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Australia","2020-03-18",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Australia","2020-03-21",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Australia","2020-03-22",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Mexico","2020-05-02",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Mexico","2020-06-01",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Mexico","2020-04-10",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Mexico","2020-04-16",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.320","Mexico","2020-04-17",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
