"lineage","country","date","N.S180T","ORF1a.T265I","ORF1a.S1188P","ORF1b.P314L","ORF1b.Q813H","ORF1b.A2431V","ORF3a.I35T","ORF3a.Q57H","ORF3a.L108V","S.D614G","N.D128N","ORF1a.Q1592R","ORF1b.H1213Y","ORF1a.A76T","ORF1a.D2980G","ORF1a.S1587L","ORF1a.T2153I","ORF1b.T2163I","ORF1b.Q2635H","ORF1b.H873R","ORF7a.S60N","ORF1a.P309L","ORF1a.L320F","ORF1a.A1679V","ORF1a.T2056I","ORF1a.A2355S","ORF1b.M1156I","ORF6.W27L","S.L5F","ORF1a.L3606F","ORF8.V114F","ORF1b.A1040T","ORF7a..122L","ORF7b.M1I","ORF1a.P4197L","ORF1b.D83G","N.S193I","ORF1a.A656V","ORF1a.G728V","ORF8.T87I","ORF1a.D1903Y","ORF1a.S3099L","ORF1b.K2557R","S.T20I","S.D253G","ORF1b.M592I","ORF1a.T3506I","ORF1a.A3615V","ORF1b.D161E"
"B.1.293","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","United Kingdom","2020-10-05",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","New Zealand","2020-04-01",0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","New Zealand","2020-04-01",0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","Germany","2021-03-05",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","USA","2020-10-06",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","USA","2020-04-03",0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","USA","2020-06-02",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.293","USA","2021-02-23",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
