"lineage","country","date","M.I82T","N.D63G","N.R203M","N.G215C","N.D377Y","ORF1a.A1306S","ORF1a.M1647I","ORF1a.P2046L","ORF1a.P2287S","ORF1a.V2857A","ORF1a.V2930L","ORF1a.L3210F","ORF1a.T3255I","ORF1a.T3646A","ORF1a.I4308T","ORF1b.A88V","ORF1b.P314L","ORF1b.G662S","ORF1b.F685Y","ORF1b.P1000L","ORF1b.A1918V","ORF3a.S26L","ORF3a.I63T","ORF3a.T89I","ORF7a.V82A","ORF7a.V108L","ORF7a.T120I","ORF7b.T40I","ORF9b.T60A","S.T19R","S.T95I","S.G142D","S.R158G","S.Q173H","S.S256L","S.L452R","S.T478K","S.D614G","S.P681R","S.L938F","S.D950N","N.G147S","ORF1a.Q986K","ORF1a.V1750A","ORF1b.G1638C","S.V62L","ORF1b.R2684I","S.D1139H","ORF1b.D152Y","ORF8.H17Y","N.A134S","ORF7b.H42Y","M.R146H","ORF1a.S2972F","S.S514F","ORF1a.L2105H","S.E324Q","S.T618I","ORF1a.A339V","ORF3a.L101F","ORF1a.G661S","ORF1b.P2612L","ORF1b.R2613N","S.E180V","ORF1a.P3371S","ORF1a.E1136G","ORF1b.C721R","ORF1b.V1538L","ORF3a.T223I","S.V1104L","ORF1a.A2355S","ORF1b.T67I"
"AY.29.1","United Kingdom","2021-11-16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-18",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-18",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-01",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-03",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-08",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-24",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-26",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-28",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.29.1","Japan","2021-08-30",1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
