"lineage","country","date","N.D3L","N.R203K","N.G204R","N.S235F","ORF1a.T1001I","ORF1a.A1708D","ORF1a.I2230T","ORF1b.P314L","ORF1b.D2499Y","ORF3a.W131C","ORF8.Q27.","ORF8.R52I","ORF8.K68.","ORF8.Y73C","S.N501Y","S.A570D","S.D614G","S.P681H","S.T716I","S.S982A","S.A1020S","S.D1118H","M.V70L","N.Q389H","ORF1a.M1586I","ORF1b.K1383R","ORF1b.D2499N","S.F490S","S.D178H","ORF1a.L3829F","ORF1a.C4332S","ORF1a.K3353R","ORF1b.H1550N","ORF1a.P2685T","ORF3a.T89I","N.A211V","ORF8.S67F","ORF1a.T2016I","ORF1b.Y1319C","ORF1a.V1994I","ORF1b.T2537I","ORF8.E19.","S.A222V","ORF1a.S944L","ORF1a.H2092Y","ORF1b.T217M","ORF1a.V3871I","ORF1b.P1727S","ORF1a.T708I","ORF3a.A110S","ORF1a.L3606F","ORF3a.H78Y","ORF3a.P240S","M.D209Y","ORF8.P38L","N.A218T","ORF9b.P10L","ORF7a.E91G","S.T240I","S.L5F","ORF1b.N189S","S.M177I","ORF1a.A372V","ORF1a.S2303F","ORF8.I74T","ORF3a.P267S","ORF1a.A2355S","ORF1a.G3676S","ORF1a.F3677L","S.V70I","ORF1a.K2798R","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","ORF1a.T2202S"
"Q.3","Denmark","2021-05-17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-06-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.3","Denmark","2021-05-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
