"rules","support","confidence","coverage","lift","count","count_in_lineage","success_rate"
"{ORF1a.G519S} => {S.G142D}",0.008258773681624,0.876196055457918,0.00942571429097314,1.06650370138129,4487,11452,0.73367097450227
"{ORF1a.G519S} => {ORF7a.V82A}",0.00918459564771646,0.974419058777583,0.00942571429097314,1.03501282332328,4990,11452,0.983059727558505
"{S.L5F} => {S.G142D}",0.0104877406815007,0.84527518172378,0.0124074868259031,1.02886688929798,5698,2181,0.731774415405777
"{S.L5F} => {ORF7a.V82A}",0.0120669757648155,0.972556000593384,0.0124074868259031,1.03303391179249,6556,2181,0.981659789087574
"{ORF1a.L3606F} => {S.G142D}",0.0249290908722789,0.839729679459359,0.0296870427258555,1.02211691746898,13544,3692,0.698266522210184
"{ORF1a.L3606F} => {ORF7a.V82A}",0.0283526074864578,0.95504991009982,0.0296870427258555,1.01443921376818,15404,3692,0.979144095341278
"{S.G142D} => {ORF7a.V82A}",0.769884465517273,0.937101493433463,0.821559319787742,0.995374683738018,418279,141718,0.980073102922706
"{ORF7a.V82A} => {S.G142D}",0.769884465517273,0.817759348105745,0.941456025297211,0.995374683738018,418279,191285,0.72611025433254
"{ORF1a.G519S,S.G142D} => {ORF7a.V82A}",0.00804526404332037,0.974147537330065,0.008258773681624,1.03472441744959,4371,8402,0.987741014044275
"{ORF1a.G519S,ORF7a.V82A} => {S.G142D}",0.00804526404332037,0.875951903807615,0.00918459564771646,1.0662065205881,4371,11258,0.737164682892166
"{S.G142D,S.L5F} => {ORF7a.V82A}",0.0101803604263567,0.970691470691471,0.0104877406815007,1.03105343702594,5531,1596,0.984335839598998
"{ORF7a.V82A,S.L5F} => {S.G142D}",0.0101803604263567,0.843654667480171,0.0120669757648155,1.02689440331361,5531,2141,0.733769266697805
"{ORF1a.L3606F,S.G142D} => {ORF7a.V82A}",0.0237216570556653,0.951565268753692,0.0249290908722789,1.01073788173302,12888,2578,0.984484096198604
"{ORF1a.L3606F,ORF7a.V82A} => {S.G142D}",0.0237216570556653,0.836665801090626,0.0283526074864578,1.01838757219234,12888,3615,0.70207468879668
