"lineage","country","date","N.A220V","ORF1a.A3454V","ORF1a.Q4100H","ORF1b.P314L","ORF3a.I118L","S.A222V","S.E583D","S.D614G","M.S94T","ORF1a.R545Q","ORF3a.R134H","ORF1a.D33N","ORF1a.S2242F","ORF1a.L3606F","ORF1b.I1598V","ORF1b.D2499G","ORF1a.P271S","ORF1a.G1073R","ORF1a.L960V","ORF1a.G1548C","N.T334I","ORF1a.L3951F","ORF1a.T2093I","ORF1a.T3150I","S.P1263S","ORF1a.H374Y","ORF7a.D69G","M.V66L","ORF1a.S558F","ORF1a.S858F","ORF1a.M3921I","N.T379I","S.L5F","ORF1b.V1110L","ORF1a.L2177I","ORF1a.T224N","ORF6.E55.","S.M177I","ORF1a.A1473V","N.T16M","ORF9b.R13C","S.L141V","ORF1a.L2524V","ORF1b.M1765I","ORF3a.D183Y","N.P383S","ORF7a.L9M","E.T11A","ORF1b.L1933F","ORF9b.T83I","M.H125Y","ORF1a.K3353R","ORF1a.K734R","ORF1a.V3975F","ORF1a.S1517F","ORF1b.P2633S","ORF1a.I114T","ORF3a.S171L","ORF1a.G2667C","ORF1b.L518F","ORF1a.G2269C","ORF1b.K2538N","N.P365L","ORF1a.I2490T","ORF1a.P4223S","ORF1a.A1049V","S.C1247F","ORF1a.T2823I","ORF8.Q72H","ORF1a.P2605S","ORF1b.R1729C","ORF1a.P1989S","N.N11S","ORF9b.M8V"
"B.1.177.20","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2021-01-13",1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2021-01-13",1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2021-01-14",1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2021-01-25",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2021-01-30",1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2021-02-19",1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2020-09-16",1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2020-10-01",1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.20","United Kingdom","2020-10-01",1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
