"lineage","country","date","N.R203K","N.G204R","ORF1a.E37D","ORF1a.A1812D","ORF1b.P314L","S.D614G","ORF1a.A2584V","ORF1b.H1087Y","ORF1b.H1213Y","S.S689I","N.E323K","ORF1b.P1001S","ORF3a.T176I","ORF1a.E707D","ORF1a.E1142K","ORF1b.A576V","ORF1b.A2110S","S.E1092A","ORF1a.E2050G","ORF1a.T2183I","ORF3a.L41F","ORF1a.T1022I","ORF1a.A3124V","ORF1b.S1182L","N.T366I","S.N1158S","ORF1a.P971S","ORF7a.T11I","ORF1a.K1405N","ORF1b.M1586I","ORF1b.S2212I","ORF8.V5F","ORF1a.T2967I","ORF1b.T2040N","ORF1b.I2219T","ORF8.G8E","S.D1146Y","N.D3Y","ORF1a.M315V","ORF1b.T1050N","ORF7b.L14S","ORF9b.R32L","S.L18F","S.A27S","S.E484K","S.Q675H"
"AE.6","Bahrain","2020-11-21",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-11-16",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-11-16",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-11-16",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-10-26",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-10-15",1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-10-13",1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-10-14",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-10-14",1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.6","Bahrain","2020-10-14",1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
