"lineage","country","date","M.A2V","N.R203K","N.G204R","ORF1a.T727I","ORF1a.A3357V","ORF1b.P314L","S.D614G","S.E1202Q","ORF1a.K3353R","ORF1a.G519S","ORF1a.L1375F","ORF1a.L3116F","ORF1a.S2273F","ORF1b.V2060F","S.P330S","ORF1b.T2453I","ORF1a.P2950S","ORF1a.A3070V","ORF6.W27L"
"B.1.1.429","Estonia","2020-09-17",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-17",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-18",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-21",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-22",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-22",1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-22",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-23",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-24",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-26",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-27",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-27",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-28",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-28",1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-28",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-28",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-09-29",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-10-07",1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
"B.1.1.429","Estonia","2020-10-10",1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
"B.1.1.429","Estonia","2020-10-13",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"B.1.1.429","Estonia","2020-10-23",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-10-26",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.429","Estonia","2020-10-27",1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
"B.1.1.429","Estonia","2020-10-28",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"B.1.1.429","Estonia","2020-11-01",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"B.1.1.429","Estonia","2020-10-30",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"B.1.1.429","Estonia","2021-02-11",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
