"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","S.D614G","ORF1a.L3887V","S.P25L","ORF1a.F3804L","ORF1a.D33G","ORF1a.S212L","ORF1a.V410L","S.T1238I","ORF1a.A405D","ORF7a.A79T","ORF1a.T4249I","ORF1a.L3060F","ORF1a.T3959I","ORF1b.P1879S","ORF1b.K2111N","ORF1a.A3070V","ORF1a.V1931I","ORF1b.L845F","ORF1b.G2428D","ORF1b.T1274I","ORF1a.P361L","S.Q183H","ORF1b.R1729C","ORF1a.S3517F","ORF9b.T83I","S.L84I","S.S939F","ORF1b.D1503N","ORF8.T87S","S.M1050I"
"B.1.1.180","USA","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-06-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-06-16",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-06-16",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-06-19",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-06-19",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-06-19",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-07-21",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.180","USA","2020-07-21",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
