"lineage","country","date","N.A119S","N.S202T","N.R203K","N.G204R","N.M234I","ORF1a.G268E","ORF1a.L3468V","ORF1a.L3930F","ORF1b.P314L","ORF1b.T1540A","ORF1b.K2161R","S.E484K","S.D614G","S.V1176F","ORF1a.L3606F","ORF3a.G44R","ORF1a.V1211F","ORF1a.S3149F","ORF8.I121L","S.A899S","ORF1a.G519S","ORF1a.T1246I","ORF1a.S1905F","ORF1a.Y1920H","ORF1a.T3255I","ORF1b.S2076F","S.T859I","ORF1a.Y496C","S.M1229I","ORF1a.K798N","ORF1a.V2715I","ORF1a.T4159I","S.L5F","ORF1a.V1071A","ORF1a.P1810L","S.M731I","ORF1b.K2310R","ORF1b.T2432I","ORF8.F3S","ORF1b.P2256L","ORF8.V62L","N.D377Y","ORF3a.D155Y","E.S68F","S.D1118Y","ORF1a.P4075S","S.F565L","ORF1a.A1382V","ORF3a.H150R","ORF1b.S2637A","S.R1107K","ORF1a.L578Q","ORF1a.T3090I","ORF1b.M187L","ORF1b.T2165M","ORF1b.A2222V","ORF1b.K151R","ORF1b.K2557R","ORF8.S54L","ORF8.Q27.","ORF1b.L2017F","ORF1a.F296L","ORF1a.L1680F","ORF1a.S944L","ORF1b.P1342S","ORF1a.A2621V","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","ORF7a.A13T","S.P793S","ORF1b.K1835N","ORF1b.I2262V","N.A182D","ORF1a.T4249I","ORF1a.G3278D","ORF8.F120V","N.R41Q","ORF1a.N2102T","ORF9b.G38S","ORF6.W27L","ORF1a.S2500F","ORF1b.T1511I","ORF3a.S180F","ORF1a.F221L","ORF1b.R2613S","S.P26L","S.Q779K","ORF1a.T2846I","ORF1a.L3674F","ORF1a.D1481Y","ORF1a.I431M","ORF1a.T1242I","ORF7a.P99S","ORF1b.D1503E","ORF1b.T2514I","ORF1a.I3148V","ORF1b.P1821S","ORF1a.A599V","ORF1a.G835C","ORF1b.D1381Y","ORF1a.T708I","ORF1a.A1809T","ORF1a.T4217I","ORF1b.T2453I","ORF1a.D75N","ORF1a.D827G","ORF8.L7S","ORF1a.P804L","ORF1b.D2333Y","ORF9b.P3L","S.G72E","ORF1a.L681F","ORF1b.H1979Y","ORF1b.P2612S","ORF1a.K3353R","S.W258L","ORF3a.T176I","ORF1a.S443F","ORF1a.A698V","ORF1b.P976L","ORF3a.V77F","N.S327L","ORF3a.S166L","N.Q7R","ORF9b.K4E","ORF1a.M585I","ORF1a.P2605S","S.H1159Y","ORF1a.L1562S","ORF1b.F2380L","ORF1a.T4161I","ORF3a.L129F","ORF1b.T2165A","ORF1a.P1158L","ORF1a.A1176V","ORF1a.Y3765C","ORF1b.A2028S","S.G142S","ORF1a.I841V","ORF1b.D2429G","ORF1a.A3705V","ORF1a.S4382N","ORF1a.V1295F","ORF1b.A176S","ORF3a.V13L","S.V1065L","S.M1237I","ORF1a.T2007I","ORF7b.S5L","ORF1a.S1188L","ORF8.V114F","ORF1a.T1854I","ORF1a.M2674I","ORF1b.A1521V","ORF7a.S83L"
"P.2","Brazil","2021-02-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-02-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-02-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-02-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-02-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-03-03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-03-03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-03-03",1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-03-07",1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.2","Brazil","2021-04-09",1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
