"lineage","country","date","ORF1a.P4075S","ORF1b.P314L","ORF1b.E2072K","S.D614G","N.A217V","N.D399H","ORF1a.E352K","ORF1a.P1207T","ORF1a.A1679V","ORF1b.V1811F","ORF3a.W131L","S.L5F","S.L938F","N.R209K","ORF1a.S2188F","ORF1a.T3749I","N.T362I","ORF1a.M3669V","ORF1a.A4394V","ORF1b.S640L","ORF1b.I1674T","ORF3a.D155Y","S.S162I","ORF1b.G2180D","N.S194L","ORF7b.A43T","ORF1b.G1129C","ORF7a.E95K","ORF1b.D2179Y","ORF1b.V871I","ORF1a.V3377G","ORF1a.G112C","ORF1a.E658K","ORF1a.E940D","ORF1b.E1091Q","S.T76I","N.D401Y","ORF1a.Q990L","ORF1a.K2029E","ORF3a.I35T","ORF3a.L53F","N.R209I","N.P368L","ORF1a.V852L","ORF1a.A2587V","ORF1a.L3606F","ORF1a.I1159M","ORF1a.T1597I","ORF1b.A1160T","ORF1b.M2414I","ORF1a.V2586G","S.D936H","E.V75F","ORF1a.W161L","ORF1a.C316S","ORF1a.E489A","ORF1a.E1047A","ORF1a.K1050T","ORF1a.C1114R","ORF1a.R2159L","ORF1a.N2596S","ORF1a.H3633N","S.H146R","S.D808G","S.N1192S","N.S180C","ORF1a.I2501T","ORF1a.N3328S","ORF1a.T3459M","ORF1a.E3764D","ORF1a.M4241I","ORF1b.V711I","ORF1b.H1213Y","ORF1b.A1521S","ORF3a.A72S","ORF7a.V93F","S.N439K","N.N8K","N.N213Y","ORF1a.A498V","ORF1a.P1207S","ORF1a.A2123V","ORF1a.S2293G","ORF1a.T3117A","ORF1a.A3143V","ORF1a.R3163S","ORF1a.S3384L","ORF1b.A520V","ORF1b.G662S","ORF1b.P1000L","ORF3a.L41F","ORF7b.S5L","ORF9b.I5N","ORF9b.D16G","S.L18R","S.T95I","S.V143A","S.R158S","S.P681H","S.A688V","S.S735A","S.T1027I","ORF1a.H1545Y","ORF1a.Q4189H","ORF1b.S2312L","S.G769V","N.S201G","ORF1a.P1158L","ORF1a.H2092Y","ORF1a.P4337S","ORF1b.V466I","ORF1b.H716Y","ORF1b.G977S","ORF1b.T2432I","S.A67V","S.P681R","S.E868G","N.S194A","ORF1a.Q1813H","ORF1a.E3310K","ORF1b.S936L","ORF1b.S2212I","ORF3a.W69L","ORF3a.W193C","S.D215Y","N.D402Y","ORF1a.T2152I","ORF1a.T3202M","ORF1a.D3297Y","ORF1a.Y4077H","ORF1a.T4161I","ORF1b.K1835N","ORF1b.D2090Y","ORF1b.S2495L","ORF3a.G224C","ORF3a.V225F","ORF8.Q18.","S.L242F","S.T747I","S.A846S","ORF1a.T4174I"
"B.1.210","Australia","2020-05-23",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","Australia","2020-05-25",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","Australia","2020-05-23",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","United Kingdom","2020-09-09",0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","United Kingdom","2020-07-06",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","United Kingdom","2020-08-21",0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","United Kingdom","2020-07-27",0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","United Kingdom","2020-08-29",0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","United Kingdom","2020-08-29",0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.210","United Kingdom","2020-09-21",0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
