"lineage","country","date","N.M234I","N.A376T","ORF1a.I1128V","ORF1a.P2046S","ORF1a.M3087I","ORF1b.A176S","ORF1b.P314L","ORF1b.V767L","ORF1b.K1141R","ORF1b.E1184D","ORF3a.D27Y","ORF3a.Q57H","ORF7b.L25F","S.P139S","S.S477N","S.D614G","ORF1a.T1429I","ORF1a.A2142T","ORF7a.A55S","N.D402G","ORF1a.P748H"
"B.1.1.445","Switzerland","2020-12-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2021-01-02",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2020-12-17",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2020-12-20",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2021-01-01",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.445","Switzerland","2020-12-23",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2021-01-10",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
"B.1.1.445","Switzerland","2021-01-01",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2021-01-04",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2021-01-04",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2021-01-09",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
"B.1.1.445","Switzerland","2021-01-11",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"B.1.1.445","Switzerland","2021-01-15",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0
"B.1.1.445","Switzerland","2021-01-05",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0
"B.1.1.445","Switzerland","2020-12-18",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2020-12-14",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2020-12-26",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2020-12-19",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
"B.1.1.445","Switzerland","2020-12-14",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.445","Switzerland","2020-12-18",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
