"lineage","country","date","ORF1a.D2980G","ORF1b.P314L","ORF1b.R2629G","ORF7a.L116P","S.D614G","ORF1a.E673K","ORF1a.A3454V","ORF1b.S1391L","ORF8.K44E","ORF1a.L580F","ORF1a.K822R","ORF1a.L1115F","ORF1a.D1275E","ORF3a.T268M","ORF7a.V93F","ORF1a.H45Y","ORF1a.P193L","ORF1b.A397V","ORF1a.Q768R","ORF7a.A105S","ORF1a.S3246F","ORF1b.M1397I","ORF1a.L2969F","ORF1a.A3357V","ORF8.P36L","ORF3a.D27Y","ORF3a.P42L","ORF1b.H73Y","ORF3a.H78Y","ORF1a.K3929N","ORF1a.S1468F","ORF1a.T2087I","ORF1a.I3142T","S.T376I","S.G446V","ORF1a.K290N","E.V58F","ORF1b.R2613S","ORF1a.E1209D","ORF1b.H2516Y","N.P168S","ORF1b.I2286V","ORF1a.A478V","ORF1a.A3379V","ORF3a.K21T","ORF1a.S2188F","ORF1b.R1315C","ORF1a.N178S","ORF1b.D98A","ORF1b.K2231N","S.T778I","ORF1a.E1244G","S.S640F","ORF1a.T4090I","ORF1a.R2189K","ORF1a.A3523V","ORF1a.V274I","ORF1b.S598I","ORF8.Q72H","ORF1a.K684N","S.T76S","S.W258L","ORF1a.A555V","ORF1a.L3123F","ORF1a.V365I","ORF1b.S904L","N.Q229R","ORF1a.C3232S","ORF1a.L3606F","ORF1a.M2259V","ORF3a.M260K","ORF1a.T3356I","ORF7b.F9S","S.P1263L","ORF8.W45C","ORF1b.S1893F","ORF1a.I4049V","ORF9b.M8T","ORF3a.Y211C","ORF1a.M85V","ORF1b.V2371L","N.P383L","ORF1a.L1270F","ORF1a.A2618V","ORF8.E110Q","S.S98F","ORF1a.V306F","ORF1a.L642F","ORF8.A51V","ORF1b.S1512I","N.P199S","ORF1a.S3344F","ORF1b.I235T","ORF1b.L1681F","ORF1b.D1903Y","ORF1b.K2160N","S.R1107S","ORF1b.T792A"
"B.1.206","Spain","2020-03-09",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-07-07",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-09-02",0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-06-17",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-06-29",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-07-09",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-08-07",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-03-27",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-07-14",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.206","USA","2020-07-26",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
