"lineage","country","date","N.S202N","ORF1a.K2589R","ORF1a.M3655I","ORF1a.L3667F","ORF1b.A1291V","ORF8.L84S","ORF8.E92K","ORF9b.R32P","S.F157L","S.V367F","S.Q613H","ORF1b.R2000H","ORF8.Y46C","ORF1a.F70L","ORF8.S54L","M.I82T","ORF1a.E102K","ORF1a.T1638I","ORF1a.L2084I","ORF1a.A2375V","ORF1a.T3255I","ORF3a.L71V","ORF3a.W131C","ORF7a.T115A","S.F490L","S.P681H","S.C1254F","ORF1a.P4197S","ORF8.Q72H","S.V213A","N.M210T","ORF1a.A138V","ORF1a.S1427N","ORF1a.T2121I","ORF1b.H604Y","ORF1b.P1342S","S.H245Y","ORF1a.T814I","S.A1087S","ORF7b.M24I","ORF7b.L32F","S.G1124V","S.E309K","S.Q1113K"
"A.23","Kenya","2020-10-28",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.23","Kenya","2020-11-23",1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.23","Kenya","2020-12-11",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.23","Kenya","2020-12-11",1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.23","Germany","2021-04-25",1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.23","Germany","2021-05-25",1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A.23","Uganda","2020-11-14",1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"A.23","Uganda","2020-09-30",1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"A.23","Uganda","2020-09-30",1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"A.23","Uganda","2020-11-16",1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"A.23","USA","2020-12-19",1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
