"lineage","country","date","N.R203K","N.G204R","ORF1a.S1520F","ORF1b.P314L","S.D614G","ORF3a.S171L"
"L.2","Netherlands","2020-04-14",1,1,1,1,1,0
"L.2","Netherlands","2020-04-02",1,1,0,1,0,0
"L.2","Netherlands","2020-04-03",1,1,0,1,0,0
"L.2","Netherlands","2020-04-06",1,1,0,1,0,0
"L.2","Netherlands","2020-04-06",1,1,0,1,0,1
"L.2","Netherlands","2020-04-06",1,1,0,1,0,0
"L.2","Netherlands","2020-04-06",1,1,0,1,0,0
"L.2","Netherlands","2020-04-06",1,1,0,1,0,1
"L.2","Netherlands","2020-04-06",1,1,0,1,0,0
"L.2","Netherlands","2020-04-07",1,1,0,1,0,0
"L.2","Netherlands","2020-04-07",1,1,0,1,1,0
