"lineage","country","date","ORF1a.T265I","ORF1a.P309L","ORF1a.S3884L","ORF1b.P314L","ORF1b.S904L","ORF3a.Q57H","ORF3a.L101R","ORF8.W45L","ORF8.A65V","S.D614G","S.Q675R","S.A684V","S.I934M","N.S202I","ORF1a.V38A","ORF1a.V561F","ORF1a.K564N","ORF1a.A2636T","ORF1a.R2991G","ORF1a.V3593F","ORF1a.V3759F","ORF1a.T4164I","ORF3a.C81Y","S.D253G","S.P1162S","ORF1a.L27I","ORF1a.H1818Y","N.A152S","ORF1a.T4368I","ORF1b.A1432V","ORF1b.A1877T","ORF1a.V1345L","S.A899S","ORF3a.V88L","S.G1124C","ORF1b.V1164L","ORF1b.D1503N","S.P1057L","S.T573I","ORF1a.V3367A","ORF1a.H1545Y","ORF3a.W69C","ORF8.C102F","ORF1a.A591S","S.E583D","ORF1a.L446F","ORF1a.L3606F","ORF3a.H78Y","ORF1b.T1540I","S.L176F","ORF1a.A3070T","ORF3a.A99V","S.T716I","M.K162M","ORF1a.S944L","S.Q218R","S.S640F","S.S1252T","N.T16M","ORF1a.S34P","ORF1a.L469F","ORF9b.R13C","M.C64S","ORF1a.S2022L","ORF3a.I63T","S.G769V","S.D586N","N.H145Y","ORF1a.S1905F","ORF1a.K2511N","N.R209T","ORF1a.G2509S","ORF1b.T1038K","S.S939F","ORF1b.T1038I","ORF8.A65S","ORF1b.D1899Y","E.E8K","ORF1a.Y3204F","ORF1b.D2333Y","ORF1a.D2043N","S.F157S","ORF1a.T1760I","ORF8.A51V","N.R209I","N.L230F","ORF1a.A1420V","ORF1a.T1890I","ORF1a.H2659Y","ORF3a.V13L","ORF1a.R1464W","N.V72I","ORF1a.C316Y","ORF1a.R1628H","ORF1b.D1389E","S.F1062L","ORF1a.D1127N","ORF8.P36L","ORF1a.V1056L","ORF1a.T2532I","ORF1a.G524D","ORF1a.T3287A","M.I128V","ORF1a.S1468F","ORF1a.E2089D","ORF1a.G2545C","S.S155I","ORF1a.Q66H","N.Q386H","ORF8.I39T","ORF1a.N1871S","ORF1a.P971L","ORF1b.V2102I","S.A411T","ORF1a.V3647I","ORF1a.M2796V","ORF1b.H883Y","S.E281Q","ORF1a.T1474I","ORF1a.A3070V","ORF1a.S3244L","ORF1b.L2497F","S.I1114T","S.G1267R"
"B.1.3","USA","2020-09-02",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2021-01-25",1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2020-11-12",1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2020-12-18",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2020-12-18",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2020-12-19",1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2020-12-18",1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2021-01-13",1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2021-01-13",1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.3","USA","2021-01-16",1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
