"lineage","country","date","ORF1a.T551I","ORF1b.P314L","S.D614G","ORF1a.T265I","ORF1b.G2180S","ORF3a.Q57H","ORF3a.A39T","N.Q384H","ORF1b.P1177L","ORF1a.A3333S","ORF1b.P1821L","ORF1a.P1786L","ORF3a.D27H","ORF9b.A57V","S.R457K","ORF1b.S2379L","ORF1a.G82R","ORF1b.K1194E","ORF1a.A2811V","ORF7a.T14I","S.L5F","N.A35V","N.S193I","N.K373N","ORF1a.F3085L","ORF1b.R340I","ORF9b.R32C","N.D144H","ORF1a.I4049V","N.P365L","ORF1a.S2242F","E.T30I","M.H125Y","N.R191H","ORF1a.L293F","ORF1a.T814I","ORF1a.A3070V","ORF1a.L3606F","ORF1a.L3915F","ORF7a.S37F","ORF7a.E121A","ORF8.Q27.","ORF8.R52I","ORF8.K68.","ORF8.Y73C","ORF9b.D33G","S.S50L","S.R246G","S.A653V","S.I1115L","ORF1a.A4067T","ORF1b.K1883T","S.P589Q","ORF1a.P3952S","ORF1b.K1383R","ORF1a.T2484I","ORF1b.I2664T","N.P20L","N.N192S","ORF3a.Q116H","ORF9b.P17S","S.T572I","ORF1b.A1877E","S.G476S","S.A1020S","ORF1a.L1955F","ORF1a.S2900L","ORF1b.P218L","ORF1a.I652T","ORF1a.L1438F","ORF1b.T635M","N.Q386H","N.D128Y","ORF1b.S2338L","S.S12C","ORF1a.L2688F","ORF1a.A4262V","ORF1b.A176V"
"B.1.332","Switzerland","2020-03-14",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-04-03",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-25",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-31",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-28",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-23",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-25",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-26",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.332","USA","2020-03-22",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
