"lineage","country","date","N.T141I","N.T205I","ORF1a.T265I","ORF1a.T346I","ORF1b.P314L","ORF3a.Q57H","S.A522V","S.D614G","ORF1a.A3392V","ORF1a.S1952L","ORF1a.L3606F","ORF1a.N3405S","ORF1a.V2149F"
"B.1.428.1","Iraq","2020-10-01",1,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-06",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-11",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-07",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,1,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-07",1,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-07",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,1,1,0,0
"B.1.428.1","Iraq","2020-06-07",0,1,1,1,1,1,1,1,1,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-07",0,1,1,1,1,1,1,1,0,0,0,1,0
"B.1.428.1","Iraq","2020-06-07",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-07",0,1,1,1,1,1,1,1,0,0,0,0,1
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,1,0,0,0,0
"B.1.428.1","Iraq","2020-06-07",1,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-07",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-16",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-17",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-17",0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.428.1","Iraq","2020-06-17",0,1,1,1,1,1,1,1,0,0,0,0,0
