"lineage","country","date","ORF1a.T265I","ORF1a.L1683F","ORF1b.P314L","ORF3a.Q57H","ORF7b.E33.","S.D614G","ORF1a.A2123V","ORF1b.I2273S","ORF1a.T3113I","ORF1a.T4087I","S.T95I","ORF8.P38S","ORF7a.T39I","ORF7b.F28S","N.D22N","ORF9b.R32L"
"B.1.167","United Kingdom","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.167","United Kingdom","2020-03-27",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.167","United Kingdom","2020-03-29",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.167","United Kingdom","2020-05-01",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.167","United Kingdom","2020-05-18",1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
"B.1.167","United Kingdom","2020-05-09",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
"B.1.167","United Kingdom","2020-05-12",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
"B.1.167","United Kingdom","2020-05-12",1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0
"B.1.167","United Kingdom","2020-05-13",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
"B.1.167","United Kingdom","2020-05-14",1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0
"B.1.167","United Kingdom","2020-05-14",1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
"B.1.167","United Kingdom","2020-05-05",1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"B.1.167","United Kingdom","2020-06-04",1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1
