"lineage","country","date","N.D3Y","N.R203K","N.G204R","ORF1a.T1246I","ORF1a.G3278S","ORF1b.P314L","ORF1b.P970L","ORF1b.L2213F","ORF1b.R2652S","ORF3a.T223N","S.S98F","S.E309Q","S.D614G","S.K1073N","ORF1b.V1639A","ORF1a.E797V","ORF1a.P2046S","N.R40H","ORF1a.E1633K","ORF1a.V3449I","ORF1b.T1637I","ORF1b.H1838Y","ORF9b.V37I","ORF1b.A1805V","ORF8.H112Y","ORF1a.T2152I","ORF1b.P403S","ORF1a.P1010S","ORF1b.T239I","ORF1b.V1021F","ORF1b.R2308C","ORF1a.A2587V","ORF1a.R402C","ORF1a.L3606F"
"C.31","USA","2021-02-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.31","USA","2021-02-12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.31","USA","2020-09-15",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.31","USA","2020-12-08",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"C.31","USA","2021-01-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"C.31","USA","2021-01-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"C.31","USA","2021-01-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"C.31","USA","2021-01-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"C.31","USA","2021-01-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"C.31","USA","2021-01-07",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"C.31","USA","2020-12-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C.31","USA","2020-09-14",1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
