"lineage","country","date","ORF1a.T265I","ORF1a.A541V","ORF1a.R3323C","ORF1b.P314L","ORF1b.P976L","ORF1b.M2417I","ORF3a.Q57H","S.D614G","ORF1b.K1383R","ORF1a.S2553F","ORF1a.P1810S","E.T9I","S.N17K","ORF1b.K82R","ORF1a.A90T","ORF3a.E239D","ORF8.Q29L","ORF1a.D992Y","ORF1b.L627F","S.E309Q","ORF1b.Y1176H","ORF1a.K3832N","ORF1a.S4398L","ORF1b.A1428V","S.A411S","N.D348H","ORF8.Y73H","ORF1a.E489K","ORF1a.D2101N","S.D574Y","ORF1b.A2585S","N.P168S","ORF1b.A1749V","ORF1b.T67I","ORF1b.S997L","ORF1a.V121F","ORF1b.V1294F","ORF1a.E647A","S.L5F","ORF1a.Y136N","S.A1078S"
"B.1.166","USA","2020-06-11",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-03-25",1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-14",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-16",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-18",1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-18",1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-03",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-03",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-03",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-08",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-09",1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-05-03",1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.166","USA","2020-04-30",1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
