"lineage","country","date","N.S194L","ORF1a.E633D","ORF1b.P314L","S.D614G","ORF1a.S3158G","ORF1a.L3606F","ORF3a.T32I","N.P383L","ORF1a.K1098R","ORF1a.S2822P","ORF1a.T4065I","S.M177I","ORF8.V100L","ORF1a.P1921L","ORF1a.V2613F","ORF1b.A1160V","ORF1a.L1191F","ORF3a.G174C","ORF7a.E92D","S.A222V","S.A701V","N.P365L","ORF1a.Q314K","ORF1a.H2125Y","ORF1a.S3344F","ORF1a.R3542H","ORF1b.P319S","S.Q675H","N.K373R","ORF1a.I2873V","ORF1a.V3718F","ORF1b.K771R","ORF1b.A1884V","ORF1b.F2392L","ORF3a.A59V","S.L1200F","ORF1a.P371S","ORF1a.V3078A","ORF3a.P104S","ORF3a.L106F","ORF1a.L1186F","ORF3a.L53F","S.T1027I","M.A38S","ORF1b.A2222V","ORF1b.D2270Y","M.A63S","ORF1a.A872V","S.V860F","ORF3a.L52F","ORF1a.M315V","ORF1a.E1210G","ORF1a.P3952S","ORF7a.G38A","ORF1a.G30S","ORF1a.S2547L","ORF1a.T2632A","ORF1b.M1573I","ORF1a.H1108Y","ORF1a.S2797F","ORF1b.M2414I","S.A27V","ORF1a.V3976F","ORF1a.A1298V","ORF1b.V2178F","ORF3a.G187S","ORF6.W27L","ORF1a.F3085S","ORF1a.A3070V","N.D128Y","N.M322I","ORF8.A51V","N.Q163K","ORF1b.L1006M","ORF1b.C1007S","ORF1a.T2174I","ORF1a.M4241I","ORF1b.K32R","ORF1b.T310I","S.E484K","S.A879T","ORF1a.P777S","ORF1a.A1702S","ORF1a.T2121I","S.K182I","ORF1b.E1977D","ORF1b.G1126C","ORF1a.P1220S","S.T95I","ORF3a.K66T","ORF1a.L590F","ORF1b.K254R","N.Q289H","M.L29F","ORF1a.P927L","ORF1a.L2062F","ORF1b.K50N","ORF1b.E268A","ORF1b.S2339F","ORF1b.D2643Y","ORF1a.I1607L","ORF1a.H3076P","S.A845S","ORF1a.K399R","ORF1a.K2511N","S.T22I","ORF1b.D2142G"
"B.1.237","South Africa","2020-04-24",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-05-05",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-05-14",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-08-11",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-08-10",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-08-11",1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-08-16",1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-07-21",1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-10-24",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.237","South Africa","2020-10-12",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
