"lineage","country","date","N.R203K","N.G204R","ORF1a.G2035R","ORF1b.P314L","ORF1b.G1129V","S.D614G","S.H1083Y","S.V1176F","ORF7a.V104F","S.M900I","ORF1a.V1295F","ORF1a.V1584M","ORF1a.L3606F"
"B.1.1.181","South Africa","2020-07-09",1,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,1,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,1
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,1,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,1,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
"B.1.1.181","Turkey","2020-07-15",1,1,0,1,0,1,0,0,1,1,0,0,0
